BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
532200000008230,532200000008230,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,187,187,,,,,Grootebroek,Grootebroek,582718.1434352597,6925799.650886753
532200000008249,532200000008249,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,189,189,,,,,Grootebroek,Grootebroek,582708.2684125116,6925797.979512937
532200000008267,532200000008267,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,191,191,,,,,Grootebroek,Grootebroek,582685.2220722085,6925796.280250242
532200000008281,532200000008281,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,193,193,,,,,Grootebroek,Grootebroek,582676.9934752859,6925794.612324471
532200000008292,532200000008292,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,195,195,,,,,Grootebroek,Grootebroek,582652.3007367506,6925792.909480141
532200000008309,532200000008309,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,197,197,,,,,Grootebroek,Grootebroek,582642.4222498173,6925792.888517655
532200000008323,532200000008323,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,199,199,,,,,Grootebroek,Grootebroek,582622.668766297,6925791.196065312
532200000008352,532200000008352,Bourgondi??weg,Bourgondieweg,1613WH,1613WH,201,201,,,,,Grootebroek,Grootebroek,582612.7902815616,6925791.175066372
532200000000320,532200000000320,Kerspelweg,Kerspelweg,1616DG,1614LX,2,2,,,,,Lutjebroek,Lutjebroek,578051.0353175175,6927453.956331102
532200000002119,532200000002119,Kerspelweg,Kerspelweg,1616DG,1614LX,14,14,,,,,Lutjebroek,Lutjebroek,577415.4222711639,6929230.366033597
532200000009253,532200000009253,Bourgondi??weg,Bourgondieweg,1611WD,1611WD,93,93,c,c,,,Bovenkarspel,Bovenkarspel,583292.6856821163,6925828.903006728
532200000000454,532200000000454,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,3,3,,,,,Bovenkarspel,Bovenkarspel,583567.4964434529,6925900.431424363
532200000000736,532200000000736,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,5,5,,,,,Bovenkarspel,Bovenkarspel,583557.6112239502,6925903.7126153475
532200000001010,532200000001010,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,7,7,,,,,Bovenkarspel,Bovenkarspel,583458.8349281503,6925898.562039445
532200000001342,532200000001342,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,9,9,,,,,Bovenkarspel,Bovenkarspel,583448.9563091927,6925898.542069098
532200000001720,532200000001720,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,11,11,,,,,Bovenkarspel,Bovenkarspel,583429.2023966693,6925896.851579067
532200000001918,532200000001918,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,13,13,,,,,Bovenkarspel,Bovenkarspel,583417.677343779,6925896.828236596
532200000002261,532200000002261,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,15,15,,,,,Bovenkarspel,Bovenkarspel,583397.9234420524,6925895.137669966
532200000002555,532200000002555,Bourgondi??weg,Bourgondieweg,1611WB,1611WB,17,17,,,,,Bovenkarspel,Bovenkarspel,583386.3983917279,6925895.1142826
