BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
317200000003468,317200000003468,Wakkerendijk,Wakkerendijk,3755DH,3755DH,172,172,,,BEDR,Bedr,Eemnes,Eemnes,585465.5735124177,6842899.935679523
317200000000444,317200000000444,Goyergracht Noord,Goyergracht Noord,3755AA,3755AA,12,12,B,b,,,Eemnes,Eemnes,584214.6938010721,6846932.796882853
317200000002417,317200000002417,Raadhuislaan,Raadhuislaan,3755HB,3755HB,69,69,G,,2,G02,Eemnes,Eemnes,585331.9044476859,6845634.123945275
317200000002728,317200000002728,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,2,2,,,,,Eemnes,Eemnes,585973.8363993368,6845642.037899819
317200000002729,317200000002729,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,4,4,,,,,Eemnes,Eemnes,585979.6226181254,6845651.222641237
317200000002730,317200000002730,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,6,6,,,,,Eemnes,Eemnes,585985.8565387767,6845658.840866028
317200000002731,317200000002731,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,8,8,,,,,Eemnes,Eemnes,585991.8093686475,6845666.880262429
317200000002732,317200000002732,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,10,10,,,,,Eemnes,Eemnes,586001.4828075275,6845683.28049775
317200000002733,317200000002733,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,12,12,,,,,Eemnes,Eemnes,586009.4991661126,6845692.4690534435
317200000002734,317200000002734,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,14,14,,,,,Eemnes,Eemnes,586014.170681474,6845700.532439166
317200000002735,317200000002735,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,16,16,,,,,Eemnes,Eemnes,586019.3014292526,6845706.954137984
317200000003065,317200000003065,Torenzicht,Torenzicht,3755CD,3755CD,64,64,,,WINK,Wink,Eemnes,Eemnes,585534.1331941308,6845930.662261561
317200000003068,317200000003068,Torenzicht,Torenzicht,3755CD,3755CD,66,66,,,GROE,Groe,Eemnes,Eemnes,585502.3686465339,6845932.275045156
317200000001085,317200000001085,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,1,G01,Eemnes,Eemnes,585578.3996164831,6845516.774160418
317200000001700,317200000001700,Fazantenhof,Fazantenhof,3755ED,3755ED,37,37,G,,2,G02,Eemnes,Eemnes,585709.5894664142,6846255.556065365
317200000001086,317200000001086,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,2,G02,Eemnes,Eemnes,585574.1676732086,6845517.7603770625
317200000001701,317200000001701,Fazantenhof,Fazantenhof,3755ED,3755ED,37,37,G,,3,G03,Eemnes,Eemnes,585708.438008942,6846251.108472411
317200000001087,317200000001087,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,3,G03,Eemnes,Eemnes,585569.3082249686,6845518.688292499
317200000000211,317200000000211,Fazantenhof,Fazantenhof,3755EE,3755EE,97,97,G,,3,G03,Eemnes,Eemnes,585707.9632584248,6846175.782976303
317200000001704,317200000001704,Fazantenhof,Fazantenhof,3755EH,3755EH,38,38,G,,2,G02,Eemnes,Eemnes,585724.0899902423,6846407.311468882
317200000001088,317200000001088,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,4,G04,Eemnes,Eemnes,585564.4779250285,6845518.792588042
317200000000212,317200000000212,Fazantenhof,Fazantenhof,3755EE,3755EE,97,97,G,,1,G01,Eemnes,Eemnes,585717.3803549556,6846174.480360377
317200000001090,317200000001090,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,5,G05,Eemnes,Eemnes,585559.8045847942,6845519.563935011
317200000000213,317200000000213,Fazantenhof,Fazantenhof,3755EE,3755EE,97,97,G,,2,G02,Eemnes,Eemnes,585712.8482810126,6846175.369780228
317200000001089,317200000001089,Klaproos,Klaproos,3755HW,3755HW,15,15,G,,6,G06,Eemnes,Eemnes,585555.176973178,6845520.286331713
317200000000257,317200000000257,Fazantenhof,Fazantenhof,3755EK,3755EK,122,122,G,,1,G01,Eemnes,Eemnes,585627.766033368,6846258.754377169
317200000001687,317200000001687,Fazantenhof,Fazantenhof,3755ED,3755ED,25,25,G,,2,G02,Eemnes,Eemnes,585771.3470233628,6846303.667414285
317200000001686,317200000001686,Fazantenhof,Fazantenhof,3755ED,3755ED,25,25,G,,1,G01,Eemnes,Eemnes,585775.9623023137,6846302.7813599575
317200000001984,317200000001984,Patrijzenhof,Patrijzenhof,3755EN,3755EN,103,103,G,,1,G01,Eemnes,Eemnes,585611.1075482351,6846542.905257502
317200000000980,317200000000980,Dravik,Dravik,3755WG,3755WG,2,2,G,,3,G03,Eemnes,Eemnes,584970.6407400935,6845316.145655442
317200000000979,317200000000979,Dravik,Dravik,3755WG,3755WG,2,2,G,,2,G02,Eemnes,Eemnes,584965.7964903635,6845316.811735847
317200000000978,317200000000978,Dravik,Dravik,3755WG,3755WG,2,2,G,,1,G01,Eemnes,Eemnes,584961.374601871,6845317.387069232
317200000001983,317200000001983,Patrijzenhof,Patrijzenhof,3755EN,3755EN,103,103,G,,2,G02,Eemnes,Eemnes,585610.7306441874,6846537.448746542
317200000000442,317200000000442,Goyergracht Noord,Goyergracht Noord,3755AA,3755AA,10,10,A,a,,,Eemnes,Eemnes,584059.5096318859,6846815.351757147
317200000003279,317200000003279,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,11a,11A,Eemnes,Eemnes,584210.7313074702,6845103.339073885
317200000003286,317200000003286,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,05a,05A,Eemnes,Eemnes,584224.0621864379,6845023.8573556645
317200000003285,317200000003285,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,06a,06A,Eemnes,Eemnes,584208.3069697372,6845089.07621526
317200000003287,317200000003287,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,14a,14A,Eemnes,Eemnes,584223.218182332,6845017.696576911
317200000003288,317200000003288,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,04a,04A,Eemnes,Eemnes,584230.9608727257,6845086.000080761
317200000003289,317200000003289,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,13a,13A,Eemnes,Eemnes,584207.1884937468,6845077.276956325
317200000003290,317200000003290,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,13b,13B,Eemnes,Eemnes,584201.2774311091,6845034.925893937
317200000156399,317200000156399,Rutgers van Rozenburgln,Rutgers van Rozenburglaan,3755HE,3755HE,1,1,,,,,Eemnes,Eemnes,586002.9326856832,6845788.970244228
317200000176215,317200000176215,Torenzicht,Torenzicht,3755CC,3755CC,26,26,b,B,,,Eemnes,Eemnes,585819.1898601183,6845889.750488923
317200000176216,317200000176216,Torenzicht,Torenzicht,3755CC,3755CC,26,26,c,C,,,Eemnes,Eemnes,585820.8148560998,6845876.62140249
317200000176217,317200000176217,Torenzicht,Torenzicht,3755CC,3755CC,26,26,d,D,,,Eemnes,Eemnes,585791.4449478305,6845887.9751735125
317200000176219,317200000176219,Torenzicht,Torenzicht,3755CC,3755CC,26,26,f,F,,,Eemnes,Eemnes,585791.2093419746,6845893.220988206
317200000176220,317200000176220,Torenzicht,Torenzicht,3755CC,3755CC,26,26,g,G,,,Eemnes,Eemnes,585818.0475154673,6845898.057493574
317200000156528,317200000156528,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,05b,05B,Eemnes,Eemnes,584204.1800032235,6845038.618152206
317200000156529,317200000156529,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,12a,12A,Eemnes,Eemnes,584230.4138987617,6845103.546827001
317200000156530,317200000156530,Vlierberg,Vlierberg,3755BS,3755BS,4,4,,,12b,12B,Eemnes,Eemnes,584227.4046620858,6845089.11289693
