BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
513200000042550,Peperstraat,2801RG,98,,,Gouda,0513200000021735
513200000019925,Nieuwehaven,2801CV,147,a,,Gouda,Niet gevonden
513200000042348,Provincialeweg West,2808PC,76,,,Gouda,Niet gevonden
