BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
840200000293551,840200000293551,HEandelstraat,Handelstraat,4711AC,4711AC,4,4,,,,,St. Willebrord,St. Willebrord,511580.63765579223,6719450.975107701
840200000308193,840200000308193,Kerkeheidestraat,Kerkeheidestraat,4714RC,4714RC,57,59,,,,,Sprundel,Sprundel,510551.4178939627,6717435.073538256
840200000312927,840200000312927,Bernhardstraat,Hazelaarstraat,4715PZ,4711RE,42,49,,,,,Rucphen,St. Willebrord,509138.8938510436,6718106.867454124
840200000293489,840200000293489,HEandelstraat,Handelstraat,4711AC,4711AC,2,2,,,,,St. Willebrord,St. Willebrord,511585.17734397214,6719430.184780587
840200000302111,840200000302111,Bernhardstraat,Canadastraat,4715PX,4715RR,47,1,,,,,Rucphen,Rucphen,509120.22359454934,6718195.043961902
840200000294615,840200000294615,HEandelstraat,Handelstraat,4711AC,4711AC,6,6,,,,,St. Willebrord,St. Willebrord,511573.9816707075,6719477.170451805
840200000297295,840200000297295,Bernhardstraat,Hazelaarstraat,4715PZ,4711RE,46,37,,,,,Rucphen,St. Willebrord,509304.92560821754,6718278.101147483
840200000312927,840200000312927,Bernhardstraat,Hazelaarstraat,4715PZ,4711RE,42,49,,,,,Rucphen,St. Willebrord,509138.8938510436,6718106.867454124
840200000312927,840200000312927,Bernhardstraat,Hazelaarstraat,4715PZ,4711RE,42,49,,,,,Rucphen,St. Willebrord,509138.8938510436,6718106.867454124
840200000302111,840200000302111,Bernhardstraat,Canadastraat,4715PX,4715RR,47,1,,,,,Rucphen,Rucphen,509120.22359454934,6718195.043961902
840200000305027,840200000305027,Luienhoeksestraat,Luienhoeksestraat,4714TE,4711SG,23,23,,,,,Sprundel,St. Willebrord,512191.4049115912,6718602.232526887
840200000312867,840200000312867,Luienhoeksestraat,Luienhoeksestraat,4714TE,4711SG,20,20,,,,,Sprundel,St. Willebrord,512217.4754560296,6718766.150187741
840200000319046,840200000319046,Kozijnenhoek,Vosdonkseweg,,4714VH,34,4,,,,,Rucphen,Sprundel,509940.3089611426,6717375.0141011095
840200000304177,840200000304177,Bernhardstraat,Hazelaarstraat,4715PZ,4711RE,48,33,,,,,Rucphen,St. Willebrord,509384.64507265895,6718352.902290403
840200000303877,840200000303877,Helakkerstraat,Helakkerstraat,4715RK,4714VD,60,60,,,,,Rucphen,Rucphen,509859.22710029496,6717223.788321479
840200000303877,840200000303877,Helakkerstraat,Helakkerstraat,4715RK,4714VD,60,60,,,,,Rucphen,Rucphen,509859.22710029496,6717223.788321479
