BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
216200000013706,Ohmweg,4104BM,3,,,Culemborg,Niet gevonden
236200000004999,Trichtsekade,4196RP,5,,,Tricht,Niet gevonden
