BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1916200000363994,Burgemeester Feithplein,2273BW,104,,,Voorburg,01916200000376073
1916200000005395,Charlotte van Pallandtlaan,2272TR,16,,,Voorburg,01916200000363980
1916200000364343,Bosboom-Toussaintstraat,2274LX,4,,,Voorburg,Meer dan een nummeraanduiding
