BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
568200000303088,568200000303088,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,6,6.0,,,,,Simonshaven,Simonshaven,477211.3650620597,6771842.489646802
568200000302026,568200000302026,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,1,1.0,,,,,Simonshaven,Simonshaven,476029.0688059054,6772302.282967111
568200000303088,568200000303088,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,6,6.0,,,,,Simonshaven,Simonshaven,477211.3650620597,6771842.489646802
568200000303098,568200000303098,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,1,1.0,a,a,,,Simonshaven,Simonshaven,475909.5244112178,6772248.6185165895
568200000307433,568200000307433,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,3,3.0,b,b,,,Simonshaven,Simonshaven,475748.4311415364,6772199.754196643
568200000307434,568200000307434,Biertsedijk Oost,Biertsedijk Oost,3212LB,3212LX,3,3.0,,,,,Simonshaven,Simonshaven,475854.84497331246,6772226.668059225
