BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
180200000007938,Tarwehof,7951XJ,23,,,Staphorst,0180200000006972
180200000007939,Tarwehof,7951XJ,25,,,Staphorst,0180200000006973
180200000007937,Houtdraaier,7951ZB,5,,,Staphorst,Niet gevonden
180200000007940,Houtdraaier,7951ZB,3,,,Staphorst,Niet gevonden
180200000007935,Oude Rijksweg,7954GK,505,a,,Rouveen,Niet gevonden
180200000007933,Puntweg,7715PK,13,a,i,Punthorst,Niet gevonden
180200000007940,Houtdraaier,7951ZB,3,,,Staphorst,Niet gevonden
