BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
118200900969592,Stationsstraat,7901AB,19,,,Hoogeveen,0118200000258878
118200000264072,Defensieweg,7933TL,16,D,K,Pesse,Niet gevonden
118200000264071,Defensieweg,7933TL,2,,,Pesse,Niet gevonden
118200000264073,Defensieweg,7933TL,10,,,Pesse,Niet gevonden
118200000264075,Defensieweg,7933TL,14,,,Pesse,Niet gevonden
118200000264074,Defensieweg,7933TL,16,D,BG,Pesse,Niet gevonden
118200900969172,Alteveer,7907GC,123,T,,Hoogeveen,Niet gevonden
118200900969365,Coevorderstraatweg,7911TB,83,a,,Nieuweroord,Niet gevonden
118200900968682,A G Bellstraat,7903AD,29,,1,Hoogeveen,Niet gevonden
118200090000143,Het Loo,7908XD,4,,,Hoogeveen,0118200900971630
118200900972630,Nijstad,,30,,,Hoogeveen,Niet gevonden
