BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1987200000003161,1987200000003161,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,1,1.0,,,,,Muntendam,Muntendam,764511.6672032699,7007842.340479576
1987200000003162,1987200000003162,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,3,3.0,,,,,Muntendam,Muntendam,764509.7652288296,7007830.706748523
1987200000003163,1987200000003163,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,5,5.0,,,,,Muntendam,Muntendam,764507.7266034819,7007812.405634373
1987200000003164,1987200000003164,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,7,7.0,,,,,Muntendam,Muntendam,764505.8588057192,7007802.438792334
1987200000003169,1987200000003169,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,17,17.0,,,,,Muntendam,Muntendam,764502.5220095887,7007720.797942004
1987200000003170,1987200000003170,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,19,19.0,,,,,Muntendam,Muntendam,764502.3170348016,7007710.796966446
1987200000003171,1987200000003171,Burg Buitenhofstr,Burgemeester Buitenhofstraat,9649BV,9649BV,21,21.0,,,,,Muntendam,Muntendam,764500.4151061196,7007699.163422249
1987200000002808,1987200000002808,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,1,1.0,,,,,Muntendam,Muntendam,764196.3346998031,7008122.313307781
1987200000002822,1987200000002822,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,8,8.0,,,,,Muntendam,Muntendam,764151.164162909,7008109.900838608
1987200000002824,1987200000002824,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,12,12.0,,,,,Muntendam,Muntendam,764152.3156610616,7008084.863015789
1987200000002819,1987200000002819,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,2,2.0,,,,,Muntendam,Muntendam,764153.6793514183,7008151.539582553
1987200000002820,1987200000002820,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,4,4.0,,,,,Muntendam,Muntendam,764150.1149333204,7008139.939493326
1987200000005494,1987200000005494,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,9,9.0,,,,,Muntendam,Muntendam,764201.6878778397,7008059.364406266
1987200000005495,1987200000005495,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,11,11.0,,,,,Muntendam,Muntendam,764202.5983915714,7008049.551862677
1987200000005496,1987200000005496,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,13,13.0,,,,,Muntendam,Muntendam,764207.2308118114,7008019.11135418
1987200000005626,1987200000005626,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,14,14.0,,,,,Muntendam,Muntendam,764155.3061369815,7008059.292197986
1987200000005497,1987200000005497,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,15,15.0,,,,,Muntendam,Muntendam,764207.6451213178,7008010.496385831
1987200000005627,1987200000005627,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,16,16.0,,,,,Muntendam,Muntendam,764156.0700410004,7008048.815633492
1987200000005498,1987200000005498,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,17,17.0,,,,,Muntendam,Muntendam,764256.3232224757,7007973.14038681
1987200000005628,1987200000005628,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,18,18.0,,,,,Muntendam,Muntendam,764161.0159985679,7008003.60217972
1987200000005499,1987200000005499,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,19,19.0,,,,,Muntendam,Muntendam,764266.8779849238,7007971.736006241
1987200000005629,1987200000005629,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,20,20.0,,,,,Muntendam,Muntendam,764162.4517763705,7007994.092420278
1987200000005500,1987200000005500,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,21,21.0,,,,,Muntendam,Muntendam,764295.5963502813,7007968.103664729
1987200000005630,1987200000005630,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AP,9649AP,22,22.0,,,,,Muntendam,Muntendam,764156.3943330992,7007963.813485146
1987200000005501,1987200000005501,Burg R.J. Giezenstr,Burgemeester R.J. Giezenstraat,9649AM,9649AM,23,23.0,,,,,Muntendam,Muntendam,764305.5591248717,7007966.711410615
1987200000002934,1987200000002934,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,5,5.0,,,,,Muntendam,Muntendam,764358.6875369876,7007845.489830064
1987200000002970,1987200000002970,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,6,6.0,,,,,Muntendam,Muntendam,764308.9734490209,7007854.850451115
1987200000002935,1987200000002935,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,7,7.0,,,,,Muntendam,Muntendam,764360.0431572264,7007830.453916585
1987200000002937,1987200000002937,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,11,11.0,,,,,Muntendam,Muntendam,764357.7318084047,7007798.817974406
1987200000002938,1987200000002938,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,13,13.0,,,,,Muntendam,Muntendam,764362.3789101307,7007782.046871529
1987200000002974,1987200000002974,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,14,14.0,,,,,Muntendam,Muntendam,764304.3852785707,7007793.245313158
1987200000002939,1987200000002939,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,15,15.0,,,,,Muntendam,Muntendam,764362.1058401876,7007768.712132972
1987200000002975,1987200000002975,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,16,16.0,,,,,Muntendam,Muntendam,764305.7068701199,7007776.5426624715
1987200000002977,1987200000002977,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,20,20.0,,,,,Muntendam,Muntendam,764305.1267978913,7007748.2063833
1987200000002943,1987200000002943,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,23,23.0,,,,,Muntendam,Muntendam,764357.5514484171,7007708.774512642
1987200000002980,1987200000002980,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,26,26.0,,,,,Muntendam,Muntendam,764310.7202019006,7007696.397781536
1987200000002945,1987200000002945,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,27,27.0,,,,,Muntendam,Muntendam,764358.5998564842,7007678.73743821
1987200000002981,1987200000002981,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,28,28.0,,,,,Muntendam,Muntendam,764308.8526758036,7007686.431034955
1987200000002946,1987200000002946,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,29,29.0,,,,,Muntendam,Muntendam,764351.5732605114,7007660.539270033
1987200000002982,1987200000002982,Burgemeester Venemastr,Burgemeester Venemastraat,9649BC,9649BC,30,30.0,,,,,Muntendam,Muntendam,764306.7463025538,7007664.796553036
1987200000002947,1987200000002947,Burgemeester Venemastr,Burgemeester Venemastraat,9649BA,9649BA,31,31.0,,,,,Muntendam,Muntendam,764351.3343445921,7007648.871547571
1987200000002962,1987200000002962,Burgemeester Venemastr,Burgemeester Venemastraat,9649BB,9649BB,77,77.0,,,,,Muntendam,Muntendam,764345.1228094897,7007345.516671729
1987200000002963,1987200000002963,Burgemeester Venemastr,Burgemeester Venemastraat,9649BB,9649BB,77,77.0,A,A,,,Muntendam,Muntendam,764349.5990379412,7007320.4127710555
1987200000002964,1987200000002964,Burgemeester Venemastr,Burgemeester Venemastraat,9649BB,9649BB,77,77.0,B,B,,,Muntendam,Muntendam,764352.3442712808,7007292.009671968
1987200000002965,1987200000002965,Burgemeester Venemastr,Burgemeester Venemastraat,9649BB,9649BB,79,79.0,,,,,Muntendam,Muntendam,764353.4267828774,7007263.640883976
1987200000002966,1987200000002966,Burgemeester Venemastr,Burgemeester Venemastraat,9649BB,9649BB,81,81.0,,,,,Muntendam,Muntendam,764379.9958934779,7007261.426712796
1987200000005980,1987200000005980,Burg R J Giezenstraat,Burgemeester R.J. Giezenstraat,9649AP,9649AP,24,24.0,,,,,Muntendam,Muntendam,764155.7710494038,7007953.10374342
1987200000002976,1987200000002976,Burg Venemastraat,Burgemeester Venemastraat,9649BC,9649BC,18,18.0,,,,,Muntendam,Muntendam,764302.074160154,7007761.609499174
