BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1655200000544492,Jezuietenplein,4731HW,6,,,Oudenbosch,Niet gevonden
1655200000544494,Jezuietenplein,4731HW,8,,,Oudenbosch,Niet gevonden
1655200000544493,Jezuietenplein,4731HW,10,,,Oudenbosch,Niet gevonden
1655200000544882,Markt,4731HR,60,,,Oudenbosch,Niet gevonden
1655200000544881,Markt,4731HR,58,,,Oudenbosch,Niet gevonden
1655200000544491,Jezuietenplein,4731HW,4,,,Oudenbosch,Niet gevonden
1655200000543881,Industrieweg,4731SB,19,b,,Oudenbosch,01655200000524560
