BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
307200000427800,Piet Mondriaanlaan,3812GV,12,,,Amersfoort,0307200000553134
307200000438189,Piet Mondriaanlaan,3812GV,48,,,Amersfoort,0307200000553141
307200000470638,Van Tuyllstraat,3829AD,28,B,,Hooglanderveen,Niet gevonden
307200000470494,Piet Mondriaanplein,3812GZ,25,,,Amersfoort,0307200000553127
307200000454838,Terminalweg,3821AJ,7,,,Amersfoort,Niet gevonden
307200000534070,Terminalweg,3821AJ,21,K,,Amersfoort,Niet gevonden
307200000467524,Computerweg,3821AB,4,,,Amersfoort,0307200000558345
307200000543491,Eemlaan,3812ED,1,A,,Amersfoort,Niet gevonden
307200000484663,Hardwareweg,3821BM,34,,,Amersfoort,0307200000555101
307200000421457,Vanadiumweg,3812PX,11,N,,Amersfoort,0307200000557720
307200000484825,Ruimtevaart,3824MX,54,,,Amersfoort,0307200000557470
307200000402146,Fluorweg,3812RW,41,,,Amersfoort,0307200000558883
307200000393970,Basicweg,3821BR,12,D,,Amersfoort,0307200000557528
307200000408166,De Brand,3823LJ,28,,,Amersfoort,0307200000551893
307200000505654,Beeldschermweg,3821AH,6,A,,Amersfoort,0307200000560524
307200000472435,Stadsring,3811HN,47,C,,Amersfoort,0307200000551859
307200000445423,Computerweg,3821AB,8,C,,Amersfoort,0307200000555432
307200000525783,Lavendelstraat,3811CN,9,,,Amersfoort,Meer dan een nummeraanduiding
307200000479793,Nijkerkerstraat,3821CD,35,E,,Amersfoort,0307200000558485
307200000544239,Hellestraat,3811LK,5,,,Amersfoort,0307200000542349
307200000484825,Ruimtevaart,3824MX,54,,,Amersfoort,0307200000557470
307200000393971,Basicweg,3821BR,12,E,,Amersfoort,0307200000557529
307200000540587,Peperstraat,3811CE,4,A,,Amersfoort,0307200000533011
307200000412921,Astronaut,3824MJ,22,X,,Amersfoort,Niet gevonden
307200000435532,Stadsring,3811HS,236,,,Amersfoort,0307200000556835
307200000384465,De Brand,3823LJ,26,,,Amersfoort,Niet gevonden
307200000454010,Liendertseweg,3815BJ,112,C,,Amersfoort,0307200000556167
307200000387929,Heliumweg,3812RE,34,B,,Amersfoort,0307200000551864
307200000536804,Duisterweg,3829MP,9,,1,Hooglanderveen,Niet gevonden
307200000505656,Beeldschermweg,3821AH,6,F,,Amersfoort,0307200000560527
307200000484826,Ruimtevaart,3824MX,56,,,Amersfoort,0307200000557471
307200000467525,Computerweg,3821AB,6,,,Amersfoort,0307200000558344
307200000467984,Groningerstraat,3812EG,162,,,Amersfoort,Niet gevonden
307200000544627,Hof,3811CK,26,,,Amersfoort,0307200000437991
307200000472433,Stadsring,3811HN,47,A,,Amersfoort,0307200000551858
307200000543348,Uraniumweg,3812RJ,55,,,Amersfoort,0307200000558026
307200000467483,Databankweg,3821AL,6,C,,Amersfoort,0307200000557522
307200000454008,Liendertseweg,3815BJ,112,A,,Amersfoort,0307200000556165
307200000398450,Piet Mondriaanplein,3812GZ,33,,,Amersfoort,Niet gevonden
307200000380564,Nijverheidsweg-Noord,3812PN,120,,,Amersfoort,0307200000557835
307200000476324,Coninckstraat,3811WJ,2,B,,Amersfoort,0307200000548178
307200000445424,Computerweg,3821AB,8,D,,Amersfoort,0307200000555434
307200000393970,Basicweg,3821BR,12,D,,Amersfoort,0307200000557528
307200000496288,Siliciumweg,3812SW,97,A,,Amersfoort,Niet gevonden
307200000530859,Boy Edgarstraat,3813ZA,13,,,Amersfoort,Meer dan een nummeraanduiding
307200000489780,Hardwareweg,3821BL,7,E,,Amersfoort,0307200000555097
307200000429915,Nijkerkerstraat,3821CE,6,C,,Amersfoort,0307200000565532
307200000462299,Emiclaerhof,3823ER,142,B,,Amersfoort,Niet gevonden
307200000436407,Arnhemseweg-Zuid,3817CD,149,C,,Amersfoort,Niet gevonden
307200000536804,Duisterweg,3829MP,9,,1,Hooglanderveen,Niet gevonden
307200000421228,Fluorweg,3812RW,39,,,Amersfoort,0307200000558882
307200000551944,Kleine Koppel,3812PH,70,,,Amersfoort,0307200000547584
307200000540673,Stationsplein,3818LE,2,,,Amersfoort,0307200000558082
307200000550990,Stadsring,3811HS,62,,,Amersfoort,Niet gevonden
307200000476324,Coninckstraat,3811WJ,2,B,,Amersfoort,0307200000548178
307200000438191,Piet Mondriaanlaan,3812GV,58,,,Amersfoort,0307200000553144
307200000427800,Piet Mondriaanlaan,3812GV,12,,,Amersfoort,0307200000553134
307200000459732,Maanlander,3824MN,41,A,,Amersfoort,0307200000557460
307200000408912,Stadhuisplein,3811LM,3,,,Amersfoort,Niet gevonden
