BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1671200000000816,Kepkensdonk,5386LK,1,,,Geffen,Niet gevonden
1671200000000817,Kepkensdonk,5386LK,3,,,Geffen,Niet gevonden
