BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
3200000137994,3200000137994,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,40,40,a,a,,,Appingedam,Appingedam,764211.7053204583,7041361.427208946
3200000137996,3200000137996,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LE,9902LE,42,42,a,a,,,Appingedam,Appingedam,764156.6700444247,7041389.499130085
3200000138000,3200000138000,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LE,9902LE,46,46,a,a,,,Appingedam,Appingedam,764143.3518707142,7041370.60016499
3200000138004,3200000138004,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LE,9902LE,50,50,a,a,,,Appingedam,Appingedam,764145.9895963714,7041337.072800385
3200000138020,3200000138020,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LG,9902LG,66,66,a,a,,,Appingedam,Appingedam,764190.8590316091,7041265.4947527805
3200000138022,3200000138022,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LG,9902LG,68,68,a,a,,,Appingedam,Appingedam,764202.050231422,7041262.3541878285
3200000138034,3200000138034,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LG,9902LG,80,80,a,a,,,Appingedam,Appingedam,764280.896315917,7041246.896499692
3200000138040,3200000138040,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,86,86,a,a,,,Appingedam,Appingedam,764320.6561319173,7041237.266613074
3200000138050,3200000138050,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,96,96,a,a,,,Appingedam,Appingedam,764375.2768247359,7041220.011274122
3200000138052,3200000138052,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,98,98,a,a,,,Appingedam,Appingedam,764401.7801555704,7041214.7180568725
3200000138056,3200000138056,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,102,102,a,a,,,Appingedam,Appingedam,764406.897798243,7041238.472066331
3200000138060,3200000138060,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,106,106,a,a,,,Appingedam,Appingedam,764414.2857283907,7041262.475737559
3200000137984,3200000137984,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,30,30,a,a,,,Appingedam,Appingedam,764225.1629021118,7041416.967961145
3200000137986,3200000137986,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,32,32,a,a,,,Appingedam,Appingedam,764222.4702273336,7041407.108649971
3200000137988,3200000137988,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,34,34,a,a,,,Appingedam,Appingedam,764219.7225409147,7041396.031445656
3200000138062,3200000138062,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,108,108,a,a,,,Appingedam,Appingedam,764416.2885281191,7041272.734157202
3200000137990,3200000137990,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,36,36,a,a,,,Appingedam,Appingedam,764217.6651979625,7041386.850648768
3200000138010,3200000138010,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LE,9902LE,56,56,a,a,,,Appingedam,Appingedam,764140.3291283993,7041305.374045124
3200000138024,3200000138024,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LG,9902LG,70,70,a,a,,,Appingedam,Appingedam,764211.402715348,7041260.296326132
3200000138026,3200000138026,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LG,9902LG,72,72,a,a,,,Appingedam,Appingedam,764223.4148783779,7041257.194092534
3200000138046,3200000138046,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LH,9902LH,92,92,a,a,,,Appingedam,Appingedam,764357.696398893,7041224.460846568
3200000137992,3200000137992,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LD,9902LD,38,38,a,a,,,Appingedam,Appingedam,764214.082236598,7041375.037140381
3200000137998,3200000137998,Mr.  A.T. Voslaan,Mr. A.T. Voslaan,9902LE,9902LE,44,44,a,a,,,Appingedam,Appingedam,764153.6887929364,7041379.329288561
