BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
394200001008476,394200001008476,Venneperhof,Venneperhof,2151AW,2151AZ,4,4,,,,,Nieuw-Vennep,Nieuw-Vennep,515600.48756065866,6847986.5549053
394200000059002,394200000059002,Johannis Bogaardstraat,Johannis Bogaardstraat,2152AL,2151CV,16,16,B,B,,,Nieuw-Vennep,Nieuw-Vennep,514996.4010675401,6848018.122811197
394200001012825,394200001012825,Dokter Van Haeringenplantsoen,Sikkelstraat,,,7,17,F,J,,,Nieuw-Vennep,Nieuw-Vennep,515143.0583204583,6847860.548246534
394200001012827,394200001012827,Dokter Van Haeringenplantsoen,Sikkelstraat,,,7,17,H,G,,,Nieuw-Vennep,Nieuw-Vennep,515149.7459543365,6847867.550002032
394200001012828,394200001012828,Dokter Van Haeringenplantsoen,Sikkelstraat,,,7,17,J,F,,,Nieuw-Vennep,Nieuw-Vennep,515147.7437679771,6847875.794505725
394200001006187,394200001006187,Halim P.K. straat,Halim P.K. straat,1117EL,1117EP,35,35,,,,,Schiphol,Schiphol,534512.8558838469,6855929.661828533
394200001005944,394200001005944,Prinses Irenestraat,Prinses Irenestraat,2132XL,2131XL,21,21,,,,,Hoofddorp,Hoofddorp,521728.0033827283,6856420.911497641
394200000062844,394200000062844,Escudoweg,Escudoweg,2153PC,2153PC,9,5,,,,,Nieuw-Vennep,Nieuw-Vennep,514857.84531692805,6846416.8487602165
394200001009549,394200001009549,Dassaultlaan,Airbuslaan,1119MH,1119MA,1,2,,,,,Schiphol-Rijk,Schiphol-Rijk,531328.5424663966,6852692.795931328
394200001009550,394200001009550,Dassaultlaan,Airbuslaan,1119MH,1119MA,2,3,,,,,Schiphol-Rijk,Schiphol-Rijk,531265.5548712789,6852745.483144652
394200001009551,394200001009551,Dassaultlaan,Airbuslaan,1119MH,1119MA,3,4,,,,,Schiphol-Rijk,Schiphol-Rijk,531209.7999463754,6852800.438391006
394200001009552,394200001009552,Dassaultlaan,Airbuslaan,1119MH,1119MA,4,5,,,,,Schiphol-Rijk,Schiphol-Rijk,531140.9428026911,6852861.077622732
394200001009744,394200001009744,Schiphol Boulevard,Schiphol Boulevard,1118BG,1118BJ,343,343,,,,,Schiphol,Schiphol,529589.9280457079,6855925.143694464
394200001010611,394200001010611,Bennebroekerweg,Bennebroekerweg,,2136NG,868,866,B,,,,Zwaanshoek,Zwaanshoek,514056.07212317135,6856297.030277526
394200001010614,394200001010614,Bennebroekerweg,Bennebroekerweg,,2136NG,870,872,B,,,,Zwaanshoek,Zwaanshoek,514017.5800815602,6856327.596226348
394200001010605,394200001010605,Bennebroekerweg,Gerbrant Meussweg,,2136NE,864,9,G,,,,Zwaanshoek,Zwaanshoek,513968.6458381842,6856276.011684631
394200001010616,394200001010616,Bennebroekerweg,Bennebroekerweg,,2136NG,872,876,B,,,,Zwaanshoek,Zwaanshoek,513990.3869107805,6856354.642840171
394200001010617,394200001010617,Bennebroekerweg,Bennebroekerweg,,2136NG,872,878,C,,,,Zwaanshoek,Zwaanshoek,513982.29487505765,6856362.063320395
394200001010610,394200001010610,Bennebroekerweg,Bennebroekerweg,,2136NG,868,864,A,,,,Zwaanshoek,Zwaanshoek,514064.8697873528,6856290.018230768
394200001010615,394200001010615,Bennebroekerweg,Bennebroekerweg,,2136NG,872,874,A,,,,Zwaanshoek,Zwaanshoek,513998.6758427,6856346.509303394
393200000000298,393200000000298,v Hovell t Westerflierpd,Burgemeester van Hovell tot Westerflierpad,1165NP,1165NP,1,1,,,,,Halfweg,Halfweg,529451.9758298781,6870203.476787184
