BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
715200000029484,Philipsplein,4553AM,6,,,Philippine,0715200000037912
715200000009794,Bachlaan,,152,,G3,Terneuzen,Niet gevonden
