BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
935200000096607,935200000096607,Herculeshof,Herculeshof,6215RT,6215BP,72,72.0,,,,,Maastricht,Maastricht,629095.713347856,6592807.009862636
935200000096608,935200000096608,Herculeshof,Herculeshof,6215RT,6215BP,70,70.0,,,,,Maastricht,Maastricht,629090.2160860376,6592809.778886142
935200000039646,935200000039646,Heugemerweg,Duitsepoort,6221GD,6221VA,21,32.0,,,,,Maastricht,Maastricht,635240.5711856865,6594181.5543242125
935200000102611,935200000102611,Haspengouw,Haspengouw,6227RM,6227RM,61,161.0,,,,,Maastricht,Maastricht,636775.003199964,6591535.569990055
935200000097797,935200000097797,Rosmolen,Rosmolen,6229PB,6229PH,2,2.0,,,,,Maastricht,Maastricht,636066.8563872875,6591147.2351247715
935200000095503,935200000095503,Dousbergweg,Dousbergweg,6216CG,6216GC,100,100.0,,,,,Maastricht,Maastricht,628280.4038618689,6595612.321237445
935200000099940,935200000099940,Javastraat,Javastraat,6214XC,6214XZ,29,29.0,,,,,Maastricht,Maastricht,630724.6749984435,6593404.178724391
935200000100413,935200000100413,Grote Gracht,Bogaardenstraat,6211SX,6211SP,38,60.0,B,B,01,01,Maastricht,Maastricht,633205.2984885231,6594988.050911411
935200000100414,935200000100414,Grote Gracht,Bogaardenstraat,6211SX,6211SP,38,60.0,B,B,02,02,Maastricht,Maastricht,633205.0687341876,6594987.14527567
935200000086240,935200000086240,Grote Gracht,Bogaardenstraat,6211SX,6211SP,38,60.0,D,D,,,Maastricht,Maastricht,633205.2984885231,6594988.050911411
935200000101203,935200000101203,Becanusstraat,Becanusstraat,6216BZ,6216BZ,59,57.0,,,,,Maastricht,Maastricht,630839.5110834077,6594643.279142433
935200000101442,935200000101442,Javastraat,Javastraat,6214XK,6214XZ,11,11.0,,,,,Maastricht,Maastricht,630574.114222635,6593549.411308004
935200000101868,935200000101868,Bosscherweg,Bosscherweg,6219NE,6219AC,90,90.0,,,TR,TR,Maastricht,Maastricht,633034.3683882527,6597999.077454067
935200000101767,935200000101767,Brandenburgerweg,Brandenburgerweg,6211AK,6214AK,2,2.0,A,A,01,01,Maastricht,Maastricht,632023.7673852819,6594396.561319451
935200000101769,935200000101769,Brandenburgerweg,Brandenburgerweg,6211AK,6214AK,2,2.0,A,A,03,03,Maastricht,Maastricht,632023.7673852819,6594396.561319451
935200000102342,935200000102342,Balistaruwe,Ballistaruwe,6218WG,6218WG,3,3.0,,,,,Maastricht,Maastricht,628439.8066727998,6597268.508659762
935200000102341,935200000102341,Balistaruwe,Ballistaruwe,6218WG,6218WG,1,1.0,,,,,Maastricht,Maastricht,628454.4310053337,6597275.377053188
935200000102343,935200000102343,Balistaruwe,Ballistaruwe,6218WG,6218WG,5,5.0,,,,,Maastricht,Maastricht,628427.5770357937,6597263.228245622
935200000102344,935200000102344,Balistaruwe,Ballistaruwe,6218WG,6218WG,7,7.0,,,,,Maastricht,Maastricht,628413.7468210456,6597255.559564642
935200000102345,935200000102345,Balistaruwe,Ballistaruwe,6218WG,6218WG,9,9.0,,,,,Maastricht,Maastricht,628360.2428908341,6597213.162423845
935200000102346,935200000102346,Balistaruwe,Ballistaruwe,6218WG,6218WG,11,11.0,,,,,Maastricht,Maastricht,628346.6784427102,6597205.491152557
935200000102347,935200000102347,Balistaruwe,Ballistaruwe,6218WG,6218WG,13,13.0,,,,,Maastricht,Maastricht,628334.4470975793,6597199.679549378
935200000102348,935200000102348,Balistaruwe,Ballistaruwe,6218WG,6218WG,15,15.0,,,,,Maastricht,Maastricht,628319.8171193381,6597190.68188668
935200000102349,935200000102349,Balistaruwe,Ballistaruwe,6218WG,6218WG,17,17.0,,,,,Maastricht,Maastricht,628309.1751765527,6597184.065634518
935200000102350,935200000102350,Balistaruwe,Ballistaruwe,6218WG,6218WG,19,19.0,,,,,Maastricht,Maastricht,628332.1724822061,6597156.56904678
935200000102351,935200000102351,Balistaruwe,Ballistaruwe,6218WG,6218WG,21,21.0,,,,,Maastricht,Maastricht,628337.9710106344,6597144.571274406
935200000102352,935200000102352,Balistaruwe,Ballistaruwe,6218WG,6218WG,23,23.0,,,,,Maastricht,Maastricht,628346.7508161725,6597130.581315637
935200000102353,935200000102353,Balistaruwe,Ballistaruwe,6218WG,6218WG,25,25.0,,,,,Maastricht,Maastricht,628351.421406904,6597119.771802816
935200000102354,935200000102354,Balistaruwe,Ballistaruwe,6218WG,6218WG,27,27.0,,,,,Maastricht,Maastricht,628360.4337606635,6597104.931307471
935200000102355,935200000102355,Balistaruwe,Ballistaruwe,6218WG,6218WG,29,29.0,,,,,Maastricht,Maastricht,628366.7055418228,6597094.000438867
935200000102356,935200000102356,Balistaruwe,Ballistaruwe,6218WG,6218WG,2,2.0,,,,,Maastricht,Maastricht,628465.8656743321,6597281.192937085
