BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
10200000112117,10200000112117,Rondeboslaan,Schaappad,9936BJ,9936HT,1,1,A,A,,,Farmsum,Farmsum,773305.4281986532,7041113.226946381
10200000114847,10200000114847,Heemweg,Heemweg,9946TB,9946TB,17,17,A,a,,1,Woldendorp,Woldendorp,779600.0781336583,7032605.677958725
10200000102637,10200000102637,Oude Schans,Oude Schans,9934CR,9934CR,16,16,A,a,,,Delfzijl,Delfzijl,771136.1857525606,7044275.172884218
