BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
160200000248697,De Haar,7707PK,4,,R88,Balkbrug,Niet gevonden
160200000373864,De Haar,7707PK,4,,R95,Balkbrug,Niet gevonden
160200000254820,Hammerdijk,7693RA,3,b,,Sibculo,Niet gevonden
160200000376315,Blanckvoortallee,7773AH,4,,,Hardenberg,0160200000246014
160200000379159,J.C. Kellerlaan,7772SG,18,a,,Hardenberg,Niet gevonden
160200000379129,Sponturfwijk,7707PB,16,a,,Balkbrug,Niet gevonden
160200000373420,Galileistraat,7701SK,3,,,Dedemsvaart,0160200000253654
160200000270568,Van Foreestallee,7773DC,19,,,Hardenberg,0160200000377306
160200000246266,Bonte Weverstraat,7776XN,21,,,Slagharen,0160200000377186
160200000246268,Bonte Weverstraat,7776XN,25,,,Slagharen,Niet gevonden
160200000260291,Labora,7776SJ,8,,,Slagharen,Niet gevonden
160010000044500,Beerzerweg,7692PB,1,,,Marienberg,0160200000245717
160200000273407,Zuiderboslaan,7702BA,1,,,Dedemsvaart,Niet gevonden
160200000273423,Zuiderboslaan,7702BA,17,,,Dedemsvaart,Niet gevonden
160200000273425,Zuiderboslaan,7702BA,19,,,Dedemsvaart,Niet gevonden
160200000273431,Zuiderboslaan,7702BA,25,,,Dedemsvaart,Niet gevonden
160200000273433,Zuiderboslaan,7702BA,27,,,Dedemsvaart,Niet gevonden
160200000273435,Zuiderboslaan,7702BA,29,,,Dedemsvaart,Niet gevonden
160200000273437,Zuiderboslaan,7702BA,31,,,Dedemsvaart,Niet gevonden
160200000273439,Zuiderboslaan,7702BA,33,,,Dedemsvaart,Niet gevonden
160200000273408,Zuiderboslaan,7702BB,2,,,Dedemsvaart,Niet gevonden
160200000273410,Zuiderboslaan,7702BB,4,,,Dedemsvaart,Niet gevonden
160200000273412,Zuiderboslaan,7702BB,6,,,Dedemsvaart,Niet gevonden
160200000273414,Zuiderboslaan,7702BB,8,,,Dedemsvaart,Niet gevonden
160200000273416,Zuiderboslaan,7702BB,10,,,Dedemsvaart,Niet gevonden
160200000273422,Zuiderboslaan,7702BB,16,,,Dedemsvaart,0160200000376692
160200000273434,Zuiderboslaan,7702BB,28,,,Dedemsvaart,Niet gevonden
160200000273440,Zuiderboslaan,7702BB,34,,,Dedemsvaart,Niet gevonden
160200000273441,Zuiderboslaan,7702BB,36,,,Dedemsvaart,Niet gevonden
160200000273444,Zuiderboslaan,7702BB,42,,,Dedemsvaart,Niet gevonden
160200000273445,Zuiderboslaan,7702BB,44,,,Dedemsvaart,Niet gevonden
160200000273446,Zuiderboslaan,7702BB,46,,,Dedemsvaart,Niet gevonden
160200000274489,Zuiderboslaan,7702BB,24,t,,Dedemsvaart,Niet gevonden
160200000373434,Kloosterdijk,7693PR,124,t,,Sibculo,Niet gevonden
160200000376204,Dedemsvaartseweg-Noord,7775AK,110,b,,Lutten,Niet gevonden
160200000376205,Dedemsvaartseweg-Noord,7775AK,110,c,,Lutten,Niet gevonden
160200000376462,Rheezerbrink,7794RG,7,b,,Rheeze,Meer dan een nummeraanduiding
160200000376463,Rheezerbrink,7794RG,7,c,,Rheeze,Niet gevonden
160200000376542,Zwolseweg,7707AB,53,c,,Balkbrug,Niet gevonden
160200000260291,Labora,7776SJ,8,,,Slagharen,Niet gevonden
160200000375987,Lambertsdijk,7786BB,4,a,,Den Velde,Niet gevonden
160200000372498,Doorbraakweg,7783DC,29,,,Gramsbergen,Niet gevonden
160200000379136,Fabriekswijk,7782PW,18,a,,De Krim,Niet gevonden
160200000379131,Zwolseweg,7707AL,118,e,,Balkbrug,Niet gevonden
160200000379123,Oosterhuisstraat,7707EV,14,,,Balkbrug,Niet gevonden
160200000379132,Reuverswerf,7701XS,22,,,Dedemsvaart,Niet gevonden
160200000379128,Reininkstraat,7707EP,23,,,Balkbrug,Niet gevonden
160200000379117,Julianastraat,7701GL,14,a,,Dedemsvaart,Niet gevonden
160200000379118,Julianastraat,7701GL,14,b,,Dedemsvaart,Niet gevonden
160200000379119,Veenschut,7707ET,6,,,Balkbrug,Niet gevonden
160200000379120,Veenschut,7707ET,12,,,Balkbrug,Niet gevonden
160200000379121,Oosterhuisstraat,7707EV,10,,,Balkbrug,Niet gevonden
160200000379122,Oosterhuisstraat,7707EV,12,,,Balkbrug,Niet gevonden
160200000379124,Oosterhuisstraat,7707EV,16,,,Balkbrug,Niet gevonden
160200000379125,Reininkstraat,7707EP,17,,,Balkbrug,Niet gevonden
160200000379126,Reininkstraat,7707EP,19,,,Balkbrug,Niet gevonden
160200000379127,Reininkstraat,7707EP,21,,,Balkbrug,Niet gevonden
