BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1714200000758257,1714200000758257,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,1,1.0,,,,,Oostburg,Oostburg,388101.1121620993,6679061.624784888
1714200000758259,1714200000758259,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,2,2.0,,,,,Oostburg,Oostburg,388121.1453929773,6678995.297797418
1714200000758261,1714200000758261,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,3,3.0,,,,,Oostburg,Oostburg,388115.4330486541,6679056.463649144
1714200000758263,1714200000758263,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,5,5.0,,,,,Oostburg,Oostburg,388092.2918687002,6679069.7725071255
1714200000758265,1714200000758265,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,6,6.0,,,,,Oostburg,Oostburg,388089.99416577676,6679022.281790342
1714200000758267,1714200000758267,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,7,7.0,,,,,Oostburg,Oostburg,388072.4100030422,6679079.308136203
1714200000758269,1714200000758269,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,8,8.0,,,,,Oostburg,Oostburg,388083.2204564845,6679028.20701823
1714200000758271,1714200000758271,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,9,9.0,,,,,Oostburg,Oostburg,388029.4020775518,6679093.20449011
1714200000758273,1714200000758273,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,10,10.0,,,,,Oostburg,Oostburg,388074.6109567592,6679031.994156033
1714200000764745,1714200000764745,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,10,10.0,A,A,,,Oostburg,Oostburg,388066.3600805157,6679035.135590739
1714200000758275,1714200000758275,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,12,12.0,,,,,Oostburg,Oostburg,388059.74072214623,6679042.865073768
1714200000758277,1714200000758277,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,14,14.0,,,,,Oostburg,Oostburg,388052.43747926084,6679047.89715967
1714200000767229,1714200000767229,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,16,16.0,,,,,Oostburg,Oostburg,388044.19818745006,6679052.927205088
1714200000766281,1714200000766281,Mr P C Hennequinstraat,Mr. P.C. Hennequinstraat,4501AT,4501AT,18,18.0,,,,,Oostburg,Oostburg,388022.88633098,6679063.149264385
