BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
203200000405203,Appelsestraat,3785MB,2,,,Zwartebroek,Niet gevonden
203200000375556,Appelsestraat,3785MB,4,,,Zwartebroek,Niet gevonden
203200000366252,Zelderseweg,3785KK,10,,,Zwartebroek,Niet gevonden
203200000369556,Zelderseweg,3785KK,12,,,Zwartebroek,Niet gevonden
203200000393996,Zelderseweg,3785KK,14,,,Zwartebroek,Niet gevonden
203200000391550,Appelsestraat,3785MB,4,I,,Zwartebroek,Niet gevonden
203200000382410,Appelsestraat,3785MB,4,B,,Zwartebroek,Niet gevonden
203200000413071,Zelderseweg,3785KK,12,B,,Zwartebroek,Niet gevonden
203200000413069,Zelderseweg,3785KK,12,A,,Zwartebroek,Niet gevonden
203200000413069,Zelderseweg,3785KK,12,A,,Zwartebroek,Niet gevonden
