BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1771200000019663,Mierloseweg,5667JP,55,P,,Geldrop,Niet gevonden
1771200000019661,Mierloseweg,5667JB,55,N,,Geldrop,Niet gevonden
1771200000019653,Mierloseweg,5667JB,55,E,,Geldrop,Niet gevonden
1771200000019664,Mierloseweg,5667JB,55,R,,Geldrop,Niet gevonden
1771200000019666,Mierloseweg,5667JB,55,T,,Geldrop,Niet gevonden
1771200000019665,Mierloseweg,5667JB,55,S,,Geldrop,Niet gevonden
1771200000019652,Mierloseweg,5667JB,55,D,,Geldrop,Niet gevonden
1771200000019662,Mierloseweg,5667JB,55,O,,Geldrop,Niet gevonden
1771200000019714,Nijverheidsweg,5731HZ,2,,,Mierlo,Niet gevonden
1771200000019667,Mierloseweg,5667JB,55,U,,Geldrop,Niet gevonden
1771200000019651,Mierloseweg,5667JB,55,C,,Geldrop,Niet gevonden
1771200000019654,Mierloseweg,5667JB,55,F,,Geldrop,Niet gevonden
1771200000019655,Mierloseweg,5667JB,55,G,,Geldrop,Niet gevonden
1771200000019668,Mierloseweg,5667JB,55,V,,Geldrop,Niet gevonden
