BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1586200000048877,1586200000048877,Van Limburg Styrumstraat,Van Limburg Styrumstraat,7141KX,7141KX,43,41,,,,,Groenlo,Groenlo,735094.7914622951,6807292.18781729
1586200000048876,1586200000048876,Van Limburg Styrumstraat,Van Limburg Styrumstraat,7141KX,7141KX,41,43,,,,,Groenlo,Groenlo,735087.2874037031,6807293.096331675
1586200000046687,1586200000046687,Dankbaarsdijk,Dankbaarsdijk,7152EJ,7142HL,10,1,a,,,,Groenlo,Groenlo,741789.4680156903,6805279.355800831
1586200000047817,1586200000047817,Veldweg,Veldweg,7025DE,7263TD,2,2,,,,,Marienvelde,Marienvelde,721047.974092431,6800271.174266339
1586200000041131,1586200000041131,Nicolaasweg,Nicolaasweg,7025DB,7263TA,2,7,,a,,,Marienvelde,Marienvelde,720974.0667568123,6798434.4608651735
1586200000046610,1586200000046610,Vredenseweg,Vredenseweg,7152DJ,7142JA,22,119,,,,,Groenlo,Groenlo,740693.4003376062,6809577.374651522
1586200000052108,1586200000052108,Koemaatsdijk,Boschlaan,7131RE,7131RC,1,26,,,13,13,Lichtenvoorde,Lichtenvoorde,729830.034879995,6801388.04383787
1586200000053274,1586200000053274,Nijlandsdijk,Nijlandsdijk,7156RA,7136JD,1,1,,,,,Zieuwent,Zieuwent,726079.3846917659,6804519.924179882
1586200000045143,1586200000045143,Kranenkampsweg,Kranenkampsweg,7156SL,7136JC,2,2,,,,,Zieuwent,Zieuwent,726722.5208367996,6805454.60768742
1586200000045147,1586200000045147,Kunnerij,Kunnerij,7263RJ,7136JK,4,4,,,,,Zieuwent,Zieuwent,724379.9787235514,6803785.503507347
1586200000055236,1586200000055236,Koemaatsdijk,Boschlaan,7131RE,7131RC,1,26,,,19c,19c,Lichtenvoorde,Lichtenvoorde,729865.5700682099,6801480.908568929
1586200000055234,1586200000055234,Koemaatsdijk,Boschlaan,7131RE,7131RC,1,26,,,19a,19a,Lichtenvoorde,Lichtenvoorde,729862.1297788023,6801508.191157076
1586200000045739,1586200000045739,Zwolse Veenweg,Zwolse Veenweg,7152DR,7142HT,3,3,,,,,Groenlo,Groenlo,740696.6087790134,6808324.516349099
1586200000045105,1586200000045105,Klaverdijk,Klaverdijk,7152DV,7142HP,1,1,,,,,Groenlo,Groenlo,742646.8512210933,6808921.318069057
1586200000044900,1586200000044900,Lankveldweg,Lankveldweg,7134PS,7134PS,6,8,,,,,Vragender,Vragender,738107.7195526457,6798133.336300139
1586200000055235,1586200000055235,Koemaatsdijk,Boschlaan,7131RE,7131RC,1,26,,,19b,19b,Lichtenvoorde,Lichtenvoorde,729881.2960870535,6801485.02099632
1586200000055523,1586200000055523,Brouwhuis,Brouwhuis,7141GD,7141GD,1,13,,,,,Groenlo,Groenlo,736987.297559162,6808653.430929915
1586200000055697,1586200000055697,Nijverheidsstraat,Nijverheidsstraat,,,16,16,,g,g01,01,Lichtenvoorde,Lichtenvoorde,732213.6463780447,6798305.54653568
1586200000044899,1586200000044899,Lankveldweg,Lankveldweg,7134PS,7134PS,8,6,,,,,Vragender,Vragender,738080.2338281588,6798011.912385076
1586200000050889,1586200000050889,Ruiterweg,Ruiterweg,7152DE,7142JE,4,4,,,,,Groenlo,Groenlo,739606.9175232818,6811027.34038363
1586200000046606,1586200000046606,Vredenseweg,Vredenseweg,7152DJ,7142JA,31,114,,,,,Groenlo,Groenlo,740076.6338843136,6809277.624584325
