BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1655200000541780,1655200000541780,Uilenspiegelstraat,Uilenspiegelstraat,4744RH,4744RJ,24,24.0,,,,,Bosschenhoofd,Bosschenhoofd,506703.5097270228,6722379.28886794
1655200000521086,1655200000521086,Industrieweg,Industrieweg,4731SC,4731SC,8,8.0,b,c,,,Oudenbosch,Oudenbosch,503577.8839572207,6725284.733696512
1655200000513586,1655200000513586,Poldersdijk,Poldersdijk,4741SR,4741SR,4,2.0,,,,,Hoeven,Hoeven,509953.1297529601,6731496.030682299
