BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
733200000179130,733200000179130,Mildijk,Mildijk,4214DR,4214DR,123,123.0,T,t,,,Vuren,Vuren,562242.0784580688,6768436.217099414
733200000009417,733200000009417,Leerdamseweg,Leerdamseweg,4147BL,4147BL,11,11.0,G,g,8,8,Asperen,Asperen,568565.3118825369,6778858.954769763
733200000007181,733200000007181,Mr.Martinus Beekmanstraat,Mr.Martinus Beekmanstraat,4147BK,4147BK,12,24.0,,,,,Asperen,Asperen,568499.4280429089,6778412.544017681
733200000007175,733200000007175,Mr.Martinus Beekmanstraat,Mr.Martinus Beekmanstraat,4147BK,4147BK,6,18.0,,,,,Asperen,Asperen,568521.1855272928,6778432.362012612
733200000015057,733200000015057,De Waay,De Waay,4214ES,4214ES,9,9.0,G,g,1,1,Vuren,Vuren,561749.9177398481,6768603.706538682
733200000009367,733200000009367,Achterstraat,Achterstraat,4147AC,4147AC,14,14.0,G,g,7,7,Asperen,Asperen,569270.8339267456,6778954.279999892
733200000015100,733200000015100,Wilgenlaan,Wilgenlaan,4171AR,4171AR,2,2.0,G,g,3,3,Herwijnen,Herwijnen,570607.2783569344,6768747.118713545
733200000178999,733200000178999,Spijkse Kweldijk,Spijkse Kweldijk,4212CZ,4212CZ,31,31.0,T,t,,,Spijk,Spijk,561837.9130143875,6773943.385060233
733200000008202,733200000008202,Steeg,Steeg,4214LH,4214LH,1,1.0,T,t,,,Vuren,Vuren,563997.2868663885,6769202.48735793
733200000015008,733200000015008,Tuin,Tuin,4211BX,4211BX,6,6.0,G,g,6,6,Spijk,Spijk,557840.5414500973,6774244.195761998
733200000009359,733200000009359,Achterstraat,Achterstraat,4147AC,4147AC,14,14.0,G,g,5,5,Asperen,Asperen,569275.3389775117,6778945.921452989
733200000009409,733200000009409,Leerdamseweg,Leerdamseweg,4147BL,4147BL,11,11.0,G,g,6,6,Asperen,Asperen,568571.171868927,6778865.089950709
733200000014925,733200000014925,Kolstraat,Kolstraat,4171CX,4171CX,3,3.0,T,t,,,Herwijnen,Herwijnen,571158.0241777448,6768687.097578208
733200000014941,733200000014941,Zuiderlingedijk,Zuiderlingedijk,4161BN,4161BN,2,2.0,T,t,,,Heukelum,Heukelum,562079.3826003132,6774152.937074933
733200000015352,733200000015352,Zeiving,Zeiving,4214KT,4214KT,16,16.0,T,t,,,Vuren,Vuren,566553.0483425267,6769556.494428185
733200000015004,733200000015004,Tuin,Tuin,4211BX,4211BX,6,6.0,G,g,5,5,Spijk,Spijk,557840.9415078353,6774249.341451292
733200000007183,733200000007183,Mr.Martinus Beekmanstraat,Mr.Martinus Beekmanstraat,4147BK,4147BK,14,26.0,,,,,Asperen,Asperen,568493.0138010848,6778406.016355963
733200000015307,733200000015307,Haarweg,Haarweg,4214KL,4214KL,6,6.0,T,t,,,Vuren,Vuren,561080.7838445348,6772336.953568742
733200000015304,733200000015304,Graaf Reinaldweg,Graaf Reinaldweg,4214EW,4214EW,3,3.0,T,t,,,Vuren,Vuren,564397.4616076235,6770227.065014388
733200000006157,733200000006157,Industrieweg,Industrieweg,4214KZ,4214KZ,3,3.0,T,t,,,Vuren,Vuren,566232.1146308647,6770035.90728074
733200000009380,733200000009380,Leerdamseweg,Leerdamseweg,4147BM,4147BM,37,37.0,T,t,,,Asperen,Asperen,568184.0136568428,6779216.213556114
733200000009996,733200000009996,Achterweg,Achterweg,4171BA,4171BA,31,31.0,G,g,7,7,Herwijnen,Herwijnen,571144.3312092546,6768675.543503007
733200000015033,733200000015033,De Waay,De Waay,4214ES,4214ES,29,29.0,G,g,5,5,Vuren,Vuren,561567.0958630438,6768550.925556857
733200000009461,733200000009461,Leerdamseweg,Leerdamseweg,4147BL,4147BL,11,11.0,G,g,19,19,Asperen,Asperen,568577.950307433,6778844.632189797
733200000009531,733200000009531,Landscheiding,Landscheiding,4214KM,4214KM,5,5.0,S,s,,,Vuren,Vuren,566227.4314430809,6774171.602071991
733200000007173,733200000007173,Mr.Martinus Beekmanstraat,Mr.Martinus Beekmanstraat,4147BK,4147BK,4,16.0,,,,,Asperen,Asperen,568528.3380068159,6778438.215001915
733200000009437,733200000009437,Leerdamseweg,Leerdamseweg,4147BL,4147BL,11,11.0,G,g,13,13,Asperen,Asperen,568549.4452720253,6778844.050591056
733200000009347,733200000009347,Achterstraat,Achterstraat,4147AC,4147AC,14,14.0,G,g,2,2,Asperen,Asperen,569282.9916268724,6778934.196685248
733200000015078,733200000015078,Evert Noolstraat,Evert Noolstraat,4161CW,4161CW,2,2.0,G,g,2,2,Heukelum,Heukelum,565529.6583637462,6777505.873023146
733200000009351,733200000009351,Achterstraat,Achterstraat,4147AC,4147AC,14,14.0,G,g,3,3,Asperen,Asperen,569280.0665776414,6778938.144054696
733200000014960,733200000014960,3e industrieweg,3e industrieweg,4147CV,4147CV,1,1.0,T,t,,,Asperen,Asperen,569203.0604630786,6779111.757088054
733200000009392,733200000009392,Leerdamseweg,Leerdamseweg,4147BL,4147BL,11,11.0,G,g,2,2,Asperen,Asperen,568584.9904175213,6778877.796330411
733200000015292,733200000015292,Zuiderlingedijk,Zuiderlingedijk,4211BG,4211BG,14,14.0,T,t,,,Spijk,Spijk,557304.3984998509,6774399.781655031
