BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
24200000161390,24200000161390,Tolweg,Tolweg,9914TA,9912TG,14,14.0,,,,,Leermens,Leermens,755525.9954909622,7048807.196027666
24200000163158,24200000163158,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,1,1.0,,,,,Loppersum,Loppersum,751373.6891184819,7044874.027519973
24200000163178,24200000163178,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,2,2.0,,,,,Loppersum,Loppersum,751360.8192489169,7044723.506519585
24200000163159,24200000163159,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,3,3.0,,,,,Loppersum,Loppersum,751378.5743040822,7044867.234064305
24200000163179,24200000163179,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,4,4.0,,,,,Loppersum,Loppersum,751372.671164217,7044731.657364968
24200000163160,24200000163160,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,5,5.0,,,,,Loppersum,Loppersum,751385.098416147,7044858.734321563
24200000163180,24200000163180,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,6,6.0,,,,,Loppersum,Loppersum,751381.1503887788,7044738.197058637
24200000163161,24200000163161,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,7,7.0,,,,,Loppersum,Loppersum,751391.6225144233,7044850.234582523
24200000163181,24200000163181,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,8,8.0,,,,,Loppersum,Loppersum,751392.9707129464,7044744.673330482
24200000163162,24200000163162,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,9,9.0,,,,,Loppersum,Loppersum,751401.4244537775,7044838.322269463
24200000163182,24200000163182,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,10,10.0,,,,,Loppersum,Loppersum,751354.2952201111,7044732.006099626
24200000163163,24200000163163,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,11,11.0,,,,,Loppersum,Loppersum,751380.4979235871,7044880.599034737
24200000163183,24200000163183,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,12,12.0,,,,,Loppersum,Loppersum,751364.4765993343,7044740.188666814
24200000163164,24200000163164,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,13,13.0,,,,,Loppersum,Loppersum,751385.3831073724,7044873.8055693805
24200000163184,24200000163184,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,14,14.0,,,,,Loppersum,Loppersum,751374.6263697317,7044746.696670698
24200000163165,24200000163165,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,15,15.0,,,,,Loppersum,Loppersum,751391.9072175011,7044865.305814173
24200000163185,24200000163185,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,16,16.0,,,,,Loppersum,Loppersum,751383.073980487,7044751.561814909
24200000163166,24200000163166,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,17,17.0,,,,,Loppersum,Loppersum,751401.709174702,7044853.393478421
24200000163186,24200000163186,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,18,18.0,,,,,Loppersum,Loppersum,751398.1405137312,7044752.950994014
24200000163167,24200000163167,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,19,19.0,,,,,Loppersum,Loppersum,751409.8721772857,7044843.187439962
24200000163168,24200000163168,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,21,21.0,,,,,Loppersum,Loppersum,751423.2050430179,7044841.259143633
24200000163188,24200000163188,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,22,22.0,,,,,Loppersum,Loppersum,751420.110704574,7044765.935213673
24200000163169,24200000163169,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,23,23.0,,,,,Loppersum,Loppersum,751429.6658038073,7044829.410241066
24200000163189,24200000163189,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,24,24.0,,,,,Loppersum,Loppersum,751430.260552315,7044772.44316725
24200000163170,24200000163170,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,25,25.0,,,,,Loppersum,Loppersum,751437.8287465009,7044819.204204717
24200000163190,24200000163190,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,26,26.0,,,,,Loppersum,Loppersum,751404.6012412856,7044741.102241537
24200000163171,24200000163171,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,27,27.0,,,,,Loppersum,Loppersum,751445.9600237499,7044807.32360233
24200000163191,24200000163191,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,28,28.0,,,,,Loppersum,Loppersum,751416.484865003,7044750.927598215
24200000163172,24200000163172,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,29,29.0,,,,,Loppersum,Loppersum,751454.1545697282,7044798.7921460755
24200000163192,24200000163192,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,30,30.0,,,,,Loppersum,Loppersum,751424.9957855094,7044759.141821198
24200000163173,24200000163173,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,31,31.0,,,,,Loppersum,Loppersum,751413.0234756853,7044833.07654982
24200000163193,24200000163193,`t Hoge Heem,'t Hoge Heem,9919HL,9919HL,32,32.0,,,,,Loppersum,Loppersum,751436.8161755935,7044765.6180446455
24200000163174,24200000163174,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,33,33.0,,,,,Loppersum,Loppersum,751421.2180829601,7044824.545099776
24200000163175,24200000163175,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,35,35.0,,,,,Loppersum,Loppersum,751429.3810315252,7044814.339078167
24200000163176,24200000163176,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,37,37.0,,,,,Loppersum,Loppersum,751439.1828711081,7044802.426772346
24200000163177,24200000163177,`t Hoge Heem,'t Hoge Heem,9919HK,9919HK,39,39.0,,,,,Loppersum,Loppersum,751445.7068664945,7044793.927049022
24200000165200,24200000165200,Pompsterweg,Pompsterweg,9991TJ,9991TJ,8,9.0,A,,,,Middelstum,Middelstum,738208.8435190304,7045497.272419133
24200000163194,24200000163194,`t Hoge Heem,'t Hoge Heem,,,34,34.0,T,T,,,Loppersum,Loppersum,751491.7859489964,7044756.198336378
