BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
355200000819621,355200000819621,Beukbergenplein,Beukbergenhof,3712BX,3712EJ,110,89.0,,,,,Huis ter Heide,Huis ter Heide,586652.4390283829,6821813.362074021
355200000804829,355200000804829,Beukbergenplein,Beukbergenlaan,3712BX,3712BJ,121,42.0,,,,,Huis ter Heide,Huis ter Heide,586459.2334043997,6821736.684537762
355200000804883,355200000804883,Beukbergenplein,Vredenburg,3712BX,3712EA,106,3.0,,,,,Huis ter Heide,Huis ter Heide,586704.4390229557,6821736.874750261
355200000804845,355200000804845,Beukbergenplein,Vredenburg,3712BX,3712EA,108,7.0,,,,,Huis ter Heide,Huis ter Heide,586677.6624532726,6821786.524281114
355200000785751,355200000785751,Slotlaan,2e Hogeweg,3701GR,3701AW,122,79.0,,,1,3,Zeist,Zeist,583680.6493031742,6815425.459474648
355200000804941,355200000804941,Beukbergenplein,Weerdenburg,3712EB,3712EB,22,22.0,,,,,Huis ter Heide,Huis ter Heide,586844.1395134876,6821700.480510492
355200000804851,355200000804851,Beukbergenplein,Vredenburg,3712BX,3712EA,104,1.0,,,,,Huis ter Heide,Huis ter Heide,586714.7603911516,6821708.996478137
355200000804847,355200000804847,Beukbergenplein,Vredenburg,3712BX,3712EA,107,5.0,,,,,Huis ter Heide,Huis ter Heide,586693.6955001398,6821763.10648044
355200000804841,355200000804841,Beukbergenplein,Vredenburg,3712BX,3712EA,109,9.0,,,,,Huis ter Heide,Huis ter Heide,586676.0849515395,6821807.402774478
355200000821567,355200000821567,Gruttolaan,Kievitlaan,3704XK,3704XB,23,8.0,,,,,Zeist,Zeist,580771.0189657082,6816021.353301319
355200000821570,355200000821570,Gruttolaan,Kievitlaan,3704XK,3704XB,25,6.0,,,,,Zeist,Zeist,580777.8922369787,6816016.660237198
355200000821573,355200000821573,Gruttolaan,Kievitlaan,3704XK,3704XB,27,4.0,,,,,Zeist,Zeist,580785.2688145014,6816012.049767411
355200000821576,355200000821576,Gruttolaan,Kievitlaan,3704XK,3704XB,29,2.0,,,,,Zeist,Zeist,580792.7844131408,6816007.0227623265
355200000821443,355200000821443,Duinweg,Duinweg,3735MT,3735LD,26,26.0,,,1,1,Bosch en Duin,Bosch en Duin,583879.1018909483,6820727.934384449
355200000812026,355200000812026,Beukbergenplein,Beukbergenlaan,3712BT,3712BJ,8,44.0,A,,,,Huis ter Heide,Huis ter Heide,586345.1004806942,6821969.753022389
