BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
384200000016061,384200000016061,Arent Krijtsstraat,Johan van Soesdijkstraat,1111AM,1111BC,10,24.0,A,A,,,Diemen,Diemen,551666.8137290217,6861871.454255701
384200000016784,384200000016784,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,289,289.0,,,,,Diemen,Diemen,552334.2481603074,6860051.945923463
384200000016768,384200000016768,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,257,257.0,,,,,Diemen,Diemen,552296.0982371275,6860103.376939504
384200000016778,384200000016778,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,277,277.0,,,,,Diemen,Diemen,552301.2403506568,6860072.526142342
384200000016774,384200000016774,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,269,269.0,,,,,Diemen,Diemen,552299.3233320892,6860113.181566213
384200000016780,384200000016780,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,281,281.0,,,,,Diemen,Diemen,552321.2134409612,6860075.541580893
384200000016781,384200000016781,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,283,283.0,,,,,Diemen,Diemen,552291.7131767217,6860073.586615193
384200000017745,384200000017745,Dalsteindreef,Dalsteindreef,1112XC,1112XC,3042,3040.0,,,,,Diemen,Diemen,551734.3376201384,6859772.373998618
384200000016769,384200000016769,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,259,259.0,,,,,Diemen,Diemen,552290.5676552531,6860089.8733815225
384200000016770,384200000016770,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,261,261.0,,,,,Diemen,Diemen,552293.2156399698,6860076.928820236
384200000016772,384200000016772,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,265,265.0,,,,,Diemen,Diemen,552308.1402999527,6860071.949539937
384200000016773,384200000016773,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,267,267.0,,,,,Diemen,Diemen,552319.1484383252,6860076.230152014
384200000016775,384200000016775,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,271,271.0,,,,,Diemen,Diemen,552294.4493166788,6860104.125259404
384200000016776,384200000016776,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,273,273.0,,,,,Diemen,Diemen,552288.58468443,6860090.775266687
384200000016777,384200000016777,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,275,275.0,,,,,Diemen,Diemen,552292.772515898,6860075.351215772
384200000016779,384200000016779,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,279,279.0,,,,,Diemen,Diemen,552307.3394440687,6860070.664528539
384200000016782,384200000016782,Piet Mondriaansingel,Piet Mondriaansingel,1112ZB,1112WX,285,285.0,,,,,Diemen,Diemen,552322.8277173325,6860075.130319228
