BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
395200000008104,395200000008104,Westfriesedijk,Westfriesedijk,1749CR,1749CR,33,33,a,F,,,Warmenhuizen,Warmenhuizen,525248.8042267532,6929200.599733872
395200000004182,395200000004182,Mr.Willem Schoutenstraat,Mr. Willem Schoutenstraat,1738BW,1738BW,27,27,,,,,Waarland,Waarland,537110.6465322291,6932773.208913467
476200000748833,476200000748833,Voorweg,Voorweg,1759NX,1759NX,5,24,,,,,Callantsoog,Callantsoog,525190.0441079093,6956470.82004906
476200000031204,476200000031204,Voorweg,Voorweg,1759NX,1759NX,6,28,,,,,Callantsoog,Callantsoog,525270.0603285243,6956588.564209718
476200000031207,476200000031207,Voorweg,Voorweg,1759NX,1759NX,8,46,,,,,Callantsoog,Callantsoog,525513.5963163637,6957055.036366235
476200000026960,476200000026960,Grote Sloot,Welgelegen,1754JH,1754JK,108,4,,,,,Burgerbrug,Burgerbrug,523673.105193264,6936794.591662958
441200010011245,441200010011245,Nieuwstraat,Nieuwstraat,1741BW,1741BW,71,73,,,,,Schagen,Schagen,533839.6276200853,6944068.048671089
441200010011279,441200010011279,Belkmerweg,Belkmerweg,1754GB,1754GA,18,18,,,,,Burgerbrug,Burgerbrug,520443.9110683522,6938054.938147536
441200010011731,441200010011731,Zijperweg,Zijperweg,1742NE,1742NE,7,7,F,E,,,Schagen,Schagen,532721.5327842811,6944340.158722226
