BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
638200000372477,Azieweg,2381LW,50,,,Zoeterwoude,Niet gevonden
638200000375485,Eloutstraat,2381BE,20,,,Zoeterwoude,Niet gevonden
638200000378946,Slootweg,2735PD,19,,,Gelderswoude,Niet gevonden
638200000378946,Slootweg,2735PD,19,,,Gelderswoude,Niet gevonden
