BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1695200000007159,Banjaardweg,4493NN,2,,,Kamperland,01695200000124529
1695200000007545,Burgemeester Snellenstr,4484CX,27,,,Kortgene,Niet gevonden
1695200000008608,Uithaven,4493PK,2,,,Kamperland,Niet gevonden
1695200000008609,Uithaven,4493PK,3,,,Kamperland,Niet gevonden
1695200000008599,Havelaarstraat,4486BB,101,d,,Colijnsplaat,Niet gevonden
1695200000009119,Jacobahaven,4493ML,3,,,Kamperland,Niet gevonden
1695200000009211,Julianastraat,4491GB,24,c,,Wissenkerke,Niet gevonden
1695200000009355,Keihoogteweg,4491PT,4,,,Wissenkerke,Niet gevonden
1695200000125061,Mercuriuslaan,4493CC,19,a,,Kamperland,Niet gevonden
1695200000125062,Molenweg,4493AC,40,,,Kamperland,Niet gevonden
1695200000125050,Molenpad,4493AC,1,,,Kamperland,Niet gevonden
1695200000010082,Nieuwstraat,4493BA,65,b,,Kamperland,Niet gevonden
1695200000010085,Nieuwstraat,4493BA,65,e,,Kamperland,Niet gevonden
1695200000010468,Oostkruisstraat,4494NM,21,a,,Geersdijk,Niet gevonden
1695200000010435,Oosthavendijk,4493BK,4,,,Kamperland,Niet gevonden
1695200000010804,Patrijzenlaan,4493RA,2,a,,Kamperland,Niet gevonden
1695200000010935,Provincialeweg,4494NA,3,b,,Geersdijk,Niet gevonden
1695200000011425,Schotsmanweg,4493CX,1,b,,Kamperland,Niet gevonden
1695200000011633,Spuiweg,4484NA,10,,,Kortgene,Niet gevonden
1695200000011658,Stekeldijk,4493PE,16,,,Kamperland,Niet gevonden
1695200000011805,Torendijk,4484NB,3,,,Kortgene,Niet gevonden
1695200000011806,Torendijk,4484NB,3,a,,Kortgene,Niet gevonden
1695200000011807,Torendijk,4484NB,5,,,Kortgene,Niet gevonden
1695200000011827,Torendijk,4484NB,55,,,Kortgene,Niet gevonden
1695200000012323,Veerweg,4493AR,149,,,Kamperland,Niet gevonden
1695200000009117,Jacobahaven,4493ML,1,a,,Kamperland,Niet gevonden
1695200000008406,Galgendijk,4484NH,2,e,,Kortgene,Niet gevonden
1695200000007919,Dorpsdijk,4491EC,2,a,,Wissenkerke,Niet gevonden
1695200000007338,Beurtschippersstraat,4484PC,9,,,Kortgene,Niet gevonden
1695200000007339,Beurtschippersstraat,4484PC,10,,,Kortgene,Niet gevonden
1695200000007340,Beurtschippersstraat,4484PC,11,,,Kortgene,Niet gevonden
1695200000007341,Beurtschippersstraat,4484PC,12,,,Kortgene,Niet gevonden
1695200000007342,Beurtschippersstraat,4484PC,13,,,Kortgene,Niet gevonden
1695200000009296,Kaaidijk,4484NP,46,,,Kortgene,Niet gevonden
1695200000009297,Kaaidijk,4484NP,48,,,Kortgene,Niet gevonden
1695200000009298,Kaaidijk,4484NP,50,,,Kortgene,Niet gevonden
1695200000009299,Kaaidijk,4484NP,52,,,Kortgene,Niet gevonden
1695200000013638,Ringweg,4486BG,17,a,,Colijnsplaat,Niet gevonden
1695200000013641,Ringweg,4486BG,17,b,,Colijnsplaat,Niet gevonden
1695200000013635,Reigerlaan,4493SC,24,,,Kamperland,Niet gevonden
1695200000013653,Sternlaan,4493SJ,26,,,Kamperland,01695200000125124
1695200000011310,Ruiterplaatweg,4493PG,2,c,,Kamperland,Niet gevonden
1695200000007719,Cruijckelcreke,4491PS,9,,,Wissenkerke,Niet gevonden
1695200000007717,Cruijckelcreke,4491PS,7,,,Wissenkerke,Niet gevonden
1695200000007721,Cruijckelcreke,4491PS,11,,,Wissenkerke,Niet gevonden
1695200000007700,Cruijckelcreke,4491PS,3,,,Wissenkerke,Niet gevonden
1695200000007731,Cruijckelcreke,4491PS,19,,,Wissenkerke,Niet gevonden
1695200000007745,Cruijckelcreke,4491PS,31,,,Wissenkerke,Niet gevonden
1695200000007749,Cruijckelcreke,4491PS,39,,,Wissenkerke,Niet gevonden
1695200000012439,Visserijweg,4486CX,36,,,Colijnsplaat,Niet gevonden
1695200000013401,Jachthavenweg,4486CZ,2,,,Colijnsplaat,Niet gevonden
1695200000007156,Baas Huisweg,4493NE,16,,,Kamperland,01695200000125182
1695200000013525,Mariapolderseweg,4493PH,1,,5,Kamperland,Niet gevonden
1695200000007855,Dijkdreef,4493EM,1,,,Kamperland,Niet gevonden
1695200000008002,Dorpsweg,4491EK,2,a,,Wissenkerke,Niet gevonden
1695200000007857,Dijkdreef,4493EM,5,,,Kamperland,Niet gevonden
1695200000007415,Botterlaan,4484RC,2,,,Kortgene,Niet gevonden
1695200000124716,Wilhelminastraat,4491GC,60,,,Wissenkerke,01695200000125385
1695200000007856,Dijkdreef,4493EM,3,,,Kamperland,Niet gevonden
1695200000007858,Dijkdreef,4493EM,7,,,Kamperland,Niet gevonden
1695200000007859,Dijkdreef,4493EM,9,,,Kamperland,Niet gevonden
1695200000007860,Dijkdreef,4493EM,11,,,Kamperland,Niet gevonden
