BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1680200000012240,1680200000012240,Greveling,Greveling,9654PP,,115,113.0,,E,,,Annerveenschekanaal,Annerveenschekanaal,757349.099015118,6997223.165091704
1680200000000499,1680200000000499,Hunzepark,Hunzelaan,9514BM,9514BM,5,1.0,,a,,,Gasselternijveen,Gasselternijveen,761127.9402219293,6980365.454233864
1680200000008683,1680200000008683,Tweede Dwarsdiep,Tweede Dwarsdiep,9515PP,9515PR,26,26.0,a,a,,,Gasselternijveenschemond,Gasselternijveenschemond,767457.2896065306,6983286.871273339
1680200000008488,1680200000008488,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,25,25.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,767960.1154213359,6985047.0904012285
1680200000002500,1680200000002500,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,5,5.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,765061.0896678156,6984026.676394947
1680200000003730,1680200000003730,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,8,8.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,766127.7474322042,6984275.59886891
1680200000004113,1680200000004113,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,9,9.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,765373.7177357961,6984146.578128422
1680200000004798,1680200000004798,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,11,11.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,765579.0814625886,6984212.16013871
1680200000005466,1680200000005466,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,13,13.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,765821.8497330676,6984321.854961835
1680200000005804,1680200000005804,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,14,14.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,767170.2942748517,6984637.960907924
1680200000006617,1680200000006617,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,17,17.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,766359.1542176032,6984476.965344483
1680200000006848,1680200000006848,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,18,18.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,767747.0992791293,6984855.346274894
1680200000007352,1680200000007352,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,20,20.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,767931.501064026,6984947.919706139
1680200000007742,1680200000007742,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,22,22.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,768345.351216474,6985065.593278177
1680200000008057,1680200000008057,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,23,23.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,767906.7783205552,6985034.907863516
1680200000006971,1680200000006971,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,19,19.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,766919.6642683761,6984703.0535703115
1680200000001754,1680200000001754,Bonnerveen,Bonnerveen,9511PM,9511PM,3,3.0,g,i,,,Gieterveen,Gieterveen,760840.3525668298,6987443.706433836
1680200000001756,1680200000001756,Bonnerveen,Bonnerveen,9511PM,9511PM,3,3.0,i,g,,,Gieterveen,Gieterveen,760865.2653388641,6987444.868428374
1680200000011101,1680200000011101,Zuides,Zuides,9451KD,9451KD,52,52.0,A,a,,,Rolde,Rolde,740081.3662345622,6979919.339229988
1680200000001636,1680200000001636,Gass.boerv.mond,Gasselterboerveenschemond,9515PN,9515PN,3,3.0,,,,,Gasselternijveenschemond,Gasselternijveenschemond,764657.2189192727,6984148.066481176
1680200000015365,1680200000015365,Bosweg,Kremmerlaan,9462TA,9462TZ,6,2.0,,,,,Gasselte,Gasselte,753360.8920091229,6978789.712148325
