BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
230200000014042,230200000014042,Slenk,Slenk,8081GX,8081GX,8,8,E,B,,,Elburg,Elburg,648987.1444849161,6882295.151050643
230200000013514,230200000013514,Oude Hogeweg,Oude Hogeweg,8085PA,8085PA,16,20,A,,,,Doornspijk,Doornspijk,648150.0571414569,6876516.970065393
230200000013513,230200000013513,Oude Hogeweg,Oude Hogeweg,8085PA,8085PA,16,22,,,,,Doornspijk,Doornspijk,648159.8261322394,6876508.708560147
230200000012430,230200000012430,Verlengde Schietweg,Verlengde Schietweg,8084PL,8084PL,13,15,,,,,'t Harde,'t Harde,653097.5488526948,6874987.595066928
