BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
879200000008692,879200000008692,De Bossenstraat,de Bossenstraat,4882NL,4882NL,3,3,a,a,,,Klein Zundert,Klein Zundert,517001.35321217944,6707184.216096449
879200000011094,879200000011094,Tiggeltsebergstraat,Amanduspad,4891TC,4891TP,3,2,,,CLUB,,Rijsbergen,Rijsbergen,521647.2045407428,6713775.277909769
879200000011994,879200000011994,Kloothoefstraat,Kloothoefstraat,4885JG,4885JG,5,5,a,a,m,M,Achtmaal,Achtmaal,511646.05430015246,6702681.357351539
879200000011182,879200000011182,De Berkte,De Berkte,4891RC,4891RC,4,2,,,BEDR,,Rijsbergen,Rijsbergen,527529.7792420906,6715612.1971778525
879200000011065,879200000011065,Wernhoutseweg,Wernhoutseweg,4881GA,4884AR,45,45,a,a,BEDR,BEDR,Wernhout,Wernhout,518436.89674574387,6703342.6150909765
879200000008694,879200000008694,De Bossenstraat,de Bossenstraat,4882NL,4882NL,5,5,a,a,,,Klein Zundert,Klein Zundert,516961.2599991716,6707344.490956115
879200000008695,879200000008695,De Bossenstraat,de Bossenstraat,4882NL,4882NL,7,7,,,,,Klein Zundert,Klein Zundert,517032.9973415532,6707382.181860095
879200000008428,879200000008428,Weduwestraat,Weduwestraat,4881MA,4881MA,5,3,,b,,,Zundert,Zundert,518317.5661507603,6701853.376812673
879200000001090,879200000001090,Klein Zundertseweg,Klein Zundertseweg,4882BE,4882BE,3,3,b,f,,,Klein Zundert,Klein Zundert,518408.88583642675,6706501.13979335
879200000001089,879200000001089,Klein Zundertseweg,Klein Zundertseweg,4882BE,4882BE,3,3,a,e,,,Klein Zundert,Klein Zundert,518431.47911569057,6706485.299741376
879200000008690,879200000008690,De Bossenstraat,de Bossenstraat,4882NL,4882NL,2,2,,,,,Klein Zundert,Klein Zundert,517165.343535927,6707132.8647310855
879200000011110,879200000011110,Schriekenweg,Schriekenweg,4891PB,4891PB,5,3,,,BEDR,,Rijsbergen,Rijsbergen,524604.2922650605,6708488.886893136
879200000008689,879200000008689,De Bossenstraat,de Bossenstraat,4882NL,4882NL,1,1,a,a,,,Klein Zundert,Klein Zundert,517138.3624725265,6707106.88048386
879200000008688,879200000008688,De Bossenstraat,de Bossenstraat,4882NL,4882NL,1,1,,,,,Klein Zundert,Klein Zundert,517172.2259893586,6707086.337263031
879200000002142,879200000002142,Overasebaan,Overasebaan,4891RG,4891RG,12,12,a,c,,,Rijsbergen,Rijsbergen,525956.8870761181,6713374.192763223
879200000008691,879200000008691,De Bossenstraat,de Bossenstraat,4882NL,4882NL,3,3,,,,,Klein Zundert,Klein Zundert,517096.4538417154,6707130.555154282
879200000008693,879200000008693,De Bossenstraat,de Bossenstraat,4882NL,4882NL,5,5,,,,,Klein Zundert,Klein Zundert,516902.2942645938,6707311.750807504
879200000000458,879200000000458,Kapellekestraat,Klein Zundertseweg,4882BK,4882BH,26,26,,,,,Klein Zundert,Klein Zundert,518559.346018244,6706518.716426286
