BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1924200000029239,Weststraat,3253AR,22,,,Ouddorp,0511200001966093
1924200000030372,Nieuwstraat,,14,,,Middelharnis,Niet gevonden
