BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
617200000919061,617200000919061,Bernhardstraat,Bernhardstraat,3291BB,3291BC,45,45.0,,,,,Strijen,Strijen,507454.50341134774,6753569.745043495
588200001220468,588200001220468,Klein Zuidbeijerlandsewg,Klein Zuidbeijerlandseweg,3284LA,3284LA,4,4.0,,,,,Zuid-Beijerland,Zuid-Beijerland,489037.7492569115,6759640.162815666
617200000919060,617200000919060,Bernhardstraat,Bernhardstraat,3291BB,3291BC,43,43.0,,,,,Strijen,Strijen,507450.1435528914,6753578.247109776
617200000917980,617200000917980,Nijverheidstraat,Handelstraat,,3291CB,15,32.0,,,,,Strijen,Strijen,507062.7565183919,6754623.959308088
611200000614638,611200000614638,Schuringsedijk,Schuringshof,3281KM,3281LA,27,3.0,b,,,,Numansdorp,Numansdorp,496412.43708078767,6751467.8326194715
611200000614594,611200000614594,Schuringsedijk,Schuringshof,3281KM,3281LA,27,4.0,a,,,,Numansdorp,Numansdorp,496338.27248168166,6751450.623284153
585200001367491,585200001367491,Renooishoekstraat,Beneden Gorsdijk,,3295XA,2,22.0,A,,,,'s-Gravendeel,'s-Gravendeel,514320.9819513976,6760677.993646019
588200001220241,588200001220241,Klein Zuidbeijerlandsewg,Klein Zuidbeijerlandseweg,3284LA,3284LA,2,2.0,,,,,Zuid-Beijerland,Zuid-Beijerland,489031.43043275614,6759630.372882184
611200000614594,611200000614594,Schuringsedijk,Schuringshof,3281KM,3281LA,27,4.0,a,,,,Numansdorp,Numansdorp,496338.27248168166,6751450.623284153
585200001641209,585200001641209,Platte Schenkel,Platte Schenkel,3295KJ,3295KJ,3,5.0,A,,,,'s-Gravendeel,'s-Gravendeel,513972.59643193224,6756006.945261333
617200000919041,617200000919041,Kerkstraat,Kerkstraat,3291AJ,3291AJ,27,25.0,,a,,,Strijen,Strijen,506792.764619381,6753960.666949069
1963200000000013,1963200000000013,Sikkel,Sikkel,3274KK,3274KK,22,20.0,A,F,,,Heinenoord,Heinenoord,503879.0263796411,6766635.205354874
1963200000000014,1963200000000014,Sikkel,Sikkel,3274KK,3274KK,22,20.0,B,G,,,Heinenoord,Heinenoord,503860.2232985788,6766640.111540099
1963200000000012,1963200000000012,Sikkel,Sikkel,3274KK,3274KK,22,20.0,,E,,,Heinenoord,Heinenoord,503898.41409581446,6766630.689669818
