BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
226200000016521,226200000016521,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AS,6921AS,1,1.0,a,a,,,Duiven,Duiven,670038.6212310522,6791280.071918997
226200000016531,226200000016531,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AT,6921AT,5,5.0,,,,,Duiven,Duiven,669875.8816541062,6791156.512319824
226200000016525,226200000016525,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AX,6921AX,6,6.0,,,,,Duiven,Duiven,669752.9377177253,6791170.568565338
226200000016529,226200000016529,Burg v D tot Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AX,6921AX,10,10.0,,,,,Duiven,Duiven,669713.9936866261,6791161.166161069
226200000016543,226200000016543,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,13,13.0,,,,,Duiven,Duiven,669783.0983485286,6791100.499345364
226200000016547,226200000016547,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,15,15.0,,,,,Duiven,Duiven,669760.27594282,6791082.840073487
226200000016549,226200000016549,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,17,17.0,,,,,Duiven,Duiven,669747.308753516,6791081.329293872
226200000016539,226200000016539,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AX,6921AX,18,18.0,,,,,Duiven,Duiven,669650.426177986,6791113.015046399
226200000016553,226200000016553,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,19,19.0,,,,,Duiven,Duiven,669719.6290548455,6791063.712134305
226200000016561,226200000016561,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,25,25.0,,,,,Duiven,Duiven,669685.4028528685,6791038.034706718
226200000016555,226200000016555,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AX,6921AX,26,26.0,,,,,Duiven,Duiven,669578.7497202433,6791063.310573523
226200000016541,226200000016541,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AX,6921AX,20,20.0,,,,,Duiven,Duiven,669622.8305911964,6791105.13725246
226200000016565,226200000016565,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,27,27.0,a,a,,,Duiven,Duiven,669665.9031627841,6791030.086877827
226200000016567,226200000016567,Burg v Dorth t Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,27,27.0,b,b,,,Duiven,Duiven,669649.5857498766,6791015.617811665
226200000016569,226200000016569,Burg v D tot Medlerstr,Burgemeester van Dorth tot Medlerstraat,6921AV,6921AV,27,27.0,c,c,,,Duiven,Duiven,669641.4480731977,6791010.818190328
