BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
546200000064586,Lammermarkt,2312CM,43,A,,Leiden,0546200000012381
546200000064448,Breestraat,2311CS,72,,,Leiden,Meer dan een nummeraanduiding
546200000064448,Breestraat,2311CS,72,,,Leiden,Meer dan een nummeraanduiding
546200000064448,Breestraat,2311CS,72,,,Leiden,Meer dan een nummeraanduiding
546200000066454,Duivenbodestraat,2313XS,11,,,Leiden,0546200000005057
546200000064586,Lammermarkt,2312CM,43,A,,Leiden,0546200000012381
546200000064018,Sint Aagtenstraat,2312CA,1,,,Leiden,0546200000055406
546200000074259,Boerhaavelaan,2334ER,44,,,Leiden,0546200000005485
546200000064367,Kloksteeg,2311SL,16,,,Leiden,0546200000006756
546200000066504,Beschuitsteeg,2312JV,6,A,,Leiden,0546200000013510
546200000071522,Galileiweg,2333BD,4,,,Leiden,Niet gevonden
546200000073896,Van der Werfstraat,2312VV,43,,,Leiden,0546200000055498
