BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
86200000394301,Riperwei,8406AJ,15,,,Tijnje,Niet gevonden
86200000402136,Binnenwei,,42,,GA01,Siegerswoude,Niet gevonden
86200000402168,Fahrenheitlaan,9207HE,6,G,,Drachten-Azeven,Niet gevonden
86200000402187,Badweg,8401BL,1,A,,Gorredijk,Niet gevonden
