BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
1706200000013500,Gastelseweg,6021GM,72,,,Budel,Niet gevonden
1706200000012339,Den Engelsman,6026RB,14,a,,Maarheeze,Niet gevonden
1706200000030615,Rondven,6026PX,33,,,Maarheeze,01706200000017182
1706200000010243,Ant. Fokkerstraat,6021PP,11,,,Budel,Niet gevonden
1706200000029610,Sterkselseweg,6026EB,20,a,,Maarheeze,Niet gevonden
1706200000017079,Rijksweg A2,6026RR,5,,,Maarheeze,Niet gevonden
1706200000019499,Marktstraat,6021CG,1,a,,Budel,Niet gevonden
1706200000019911,Luchthavenweg,6021PX,18,,,Budel,Niet gevonden
1706200000030719,Beekstraat,6027NM,1,a,,Soerendonk,Niet gevonden
1706200000030636,Dr. Ant. Mathijsenstraat,6021CJ,5,b,,Budel,Niet gevonden
1706200000030636,Dr. Ant. Mathijsenstraat,6021CJ,5,b,,Budel,Niet gevonden
1706200000030552,Cranendoncklaan,6021JV,58,g,,Budel,Niet gevonden
1706200000030553,Cranendoncklaan,6021JV,58,h,,Budel,Niet gevonden
1706200000030551,Cranendoncklaan,6021JV,58,f,,Budel,Niet gevonden
