BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1740200000102546,1740200000102546,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,1,1.0,,,,,Kesteren,Kesteren,619886.991212385,6787604.5393523
1740200000102547,1740200000102547,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,2,2.0,,,,,Kesteren,Kesteren,619870.9110019404,6787646.769421446
1740200000102548,1740200000102548,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,3,3.0,,,,,Kesteren,Kesteren,619877.2719891242,6787601.318323322
1740200000102549,1740200000102549,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,4,4.0,,,,,Kesteren,Kesteren,619864.4247591024,6787641.917581434
1740200000102550,1740200000102550,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,5,5.0,,,,,Kesteren,Kesteren,619867.5527735762,6787598.0972839
1740200000102551,1740200000102551,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,6,6.0,,,,,Kesteren,Kesteren,619851.4684390404,6787638.704603032
1740200000102552,1740200000102552,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,7,7.0,,,,,Kesteren,Kesteren,619857.8335657407,6787594.87623404
1740200000102553,1740200000102553,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,8,8.0,,,,,Kesteren,Kesteren,619835.2670048638,6787632.254337386
1740200000102554,1740200000102554,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,9,9.0,,,,,Kesteren,Kesteren,619848.1103307325,6787590.032505461
1740200000102555,1740200000102555,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,10,10.0,,,,,Kesteren,Kesteren,619823.9292403187,6787629.037275719
1740200000102556,1740200000102556,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,11,11.0,,,,,Kesteren,Kesteren,619841.6322140954,6787588.426015799
1740200000102557,1740200000102557,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,12,12.0,,,,,Kesteren,Kesteren,619807.7238204984,6787620.964287944
1740200000102558,1740200000102558,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,14,14.0,,,,,Kesteren,Kesteren,619796.3860826375,6787617.747191999
1740200000102559,1740200000102559,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,15,15.0,,,,,Kesteren,Kesteren,619818.0421394691,6787579.954508677
1740200000102560,1740200000102560,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,16,16.0,,,,,Kesteren,Kesteren,619778.5621880388,6787609.678191489
1740200000102561,1740200000102561,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,17,17.0,,,,,Kesteren,Kesteren,619810.8225333607,6787577.60828388
1740200000102562,1740200000102562,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,18,18.0,,,,,Kesteren,Kesteren,619773.7025938478,6787608.06761197
1740200000102563,1740200000102563,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,19,19.0,,,,,Kesteren,Kesteren,619804.1733100148,6787574.874434163
1740200000102564,1740200000102564,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,20,20.0,,,,,Kesteren,Kesteren,619763.983411251,6787604.8464450985
1740200000102565,1740200000102565,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,21,21.0,,,,,Kesteren,Kesteren,619796.5970228686,6787572.280818412
1740200000102566,1740200000102566,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,22,22.0,,,,,Kesteren,Kesteren,619752.6416974432,6787600.006623701
1740200000102567,1740200000102567,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,23,23.0,,,,,Kesteren,Kesteren,619785.1779923245,6787567.580804815
1740200000102568,1740200000102568,Constantijn Huygensstr,Constantijn Huygensstraat,4041XR,4041XR,25,25.0,,,,,Kesteren,Kesteren,619771.9674993808,6787561.014297063
1740200000102372,1740200000102372,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,19,19.0,,,,,Opheusden,Opheusden,626889.0231896908,6788170.943780264
1740200000102373,1740200000102373,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,20,20.0,,,,,Opheusden,Opheusden,626746.6776301656,6788112.288023594
1740200000102374,1740200000102374,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,21,21.0,,,,,Opheusden,Opheusden,626913.211322712,6788162.942936018
1740200000102375,1740200000102375,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,21,21.0,a,a,,,Opheusden,Opheusden,626923.8911224542,6788161.967285666
1740200000102376,1740200000102376,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,23,23.0,,,,,Opheusden,Opheusden,626963.4783172418,6788160.50121251
1740200000102378,1740200000102378,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,25,25.0,,,,,Opheusden,Opheusden,626997.4616583467,6788158.04940947
1740200000102379,1740200000102379,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,36,36.0,,,,,Opheusden,Opheusden,626792.392183632,6788123.234405387
1740200000102380,1740200000102380,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,38,38.0,,,,,Opheusden,Opheusden,626816.3876916423,6788120.083430152
1740200000102382,1740200000102382,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,40,40.0,,,,,Opheusden,Opheusden,626833.8551902849,6788121.277458442
1740200000102384,1740200000102384,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,41,41.0,,,,,Opheusden,Opheusden,627058.9695451375,6788157.840940045
1740200000102385,1740200000102385,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,43,43.0,,,,,Opheusden,Opheusden,627083.3805665759,6788196.705226997
1740200000102386,1740200000102386,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,46,46.0,,,,,Opheusden,Opheusden,626892.0983372014,6788112.967317418
1740200000102388,1740200000102388,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,48,48.0,,,,,Opheusden,Opheusden,626932.5365658185,6788104.716918945
1740200000102389,1740200000102389,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,50,50.0,,,,,Opheusden,Opheusden,626977.5446334364,6788099.504943542
1740200000102355,1740200000102355,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KL,4043KL,1,1.0,,,,,Opheusden,Opheusden,626601.543617826,6788178.464159109
1740200000102356,1740200000102356,Burgemeester Lodderstr,Burgemeester Lodderstraat,4043KM,4043KM,2,2.0,,,,,Opheusden,Opheusden,626469.4937746606,6788070.5663719615
