BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
171200000025567,171200000025567,het Laantje,Keggehof,8311AZ,8311AT,2,25.0,,,,,Espel,Espel,628349.1418229144,6932355.119937891
171200000031891,171200000031891,Han Stijkelweg,Han Stijkelweg,8308PE,8309PJ,8,8.0,,,,,Nagele,Tollebeek,632161.8737329071,6919667.122582015
171200000034934,171200000034934,Kalenbergerweg,Nieuwlandseweg,8315PE,8315NA,6,5.0,,,3,,Luttelgeest,Luttelgeest,653361.2064093641,6934653.814481933
