BAGNUMIDENTIFICATIE,OPENBARERUIMTENAAM,POSTCODE,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,NUMJUIST
785200000010751,De Hemeltjes,5051JR,6,,,Goirle,0785200000021685
785200000010753,De Hemeltjes,5051JR,10,,,Goirle,0785200000021687
785200000010754,De Hemeltjes,5051JR,12,,,Goirle,0785200000021688
785200000010756,De Hemeltjes,5051JR,16,,,Goirle,0785200000021690
785200000010756,De Hemeltjes,5051JR,16,,,Goirle,0785200000021690
