BAGNUMIDENTIFICATIE,B_NUMMERAANDUIDING,OPENBARERUIMTENAAM,B_OPENBARERUIMTE,POSTCODE,B_POSTCODE,HUISNUMMER,B_HUISNUMMER,HUISLETTER,B_HUISLETTER,HUISNUMMERTOEVOEGING,B_HUISNUMMERTOEVOEGING,WOONPLAATSNAAM,B_WOONPLAATSNAAM,x,y
1708200000016442,1708200000016442,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,26,26,,,,,Vollenhove,Vollenhove,663403.2184693748,6923312.081106455
1708200000016158,1708200000016158,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,11,11,,,,,Vollenhove,Vollenhove,663568.9788854499,6923459.26756908
1708200000016301,1708200000016301,J(an) v. Dieststraat,Jan van Dieststraat,8325GM,8325GM,8,8,,,,,Vollenhove,Vollenhove,663454.7483116962,6923376.023269829
1708200000016313,1708200000016313,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,7,7,,,,,Vollenhove,Vollenhove,663538.8965290381,6923193.851991445
1708200000016305,1708200000016305,J(an) v. Dieststraat,Jan van Dieststraat,8325GM,8325GM,30,30,,,,,Vollenhove,Vollenhove,663526.2782952376,6923263.2527866755
1708200000016594,1708200000016594,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,8,8,,,,,Vollenhove,Vollenhove,663575.0005414351,6923388.267486522
1708200000016464,1708200000016464,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GG,8325GG,59,59,,,,,Vollenhove,Vollenhove,663425.0055276165,6923361.409124397
1708200000016299,1708200000016299,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,41,41,,,,,Vollenhove,Vollenhove,663604.2338838043,6923338.533641862
1708200000021538,1708200000021538,Lange Baan,Lange Baan,8331LW,8331LW,3,3,,,091,1,Steenwijk,Steenwijk,678384.4707122052,6943964.30149067
1708200000016612,1708200000016612,J(an) v. Dieststraat,Jan van Dieststraat,8325GL,8325GL,53,53,,,,,Vollenhove,Vollenhove,663701.8104023361,6923397.15754251
1708200000016167,1708200000016167,D(irk) v. d. Arestraat,Dirk van Arestraat,8325GJ,8325GJ,7,7,,,,,Vollenhove,Vollenhove,663608.7544410485,6923493.602229957
1708200000016761,1708200000016761,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,10,10,,,,,Vollenhove,Vollenhove,663398.9755939033,6923191.663678616
1708200000016596,1708200000016596,D(irk) v. d. Arestraat,Dirk van Arestraat,8325GJ,8325GJ,1,1,,,,,Vollenhove,Vollenhove,663600.7080289683,6923516.767233129
1708200000016595,1708200000016595,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,10,10,,,,,Vollenhove,Vollenhove,663578.2399972016,6923381.641535382
1708200000016162,1708200000016162,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,19,19,,,,,Vollenhove,Vollenhove,663621.0977334453,6923389.550536433
1708200000016303,1708200000016303,J(an) v. Dieststraat,Jan van Dieststraat,8325GM,8325GM,26,26,,,,,Vollenhove,Vollenhove,663457.6096425019,6923321.549389323
1708200000016441,1708200000016441,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,24,24,,,,,Vollenhove,Vollenhove,663378.4395954239,6923300.727554866
1708200000016296,1708200000016296,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,35,35,,,,,Vollenhove,Vollenhove,663579.4807808772,6923330.480528433
1708200000016314,1708200000016314,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,9,9,,,,,Vollenhove,Vollenhove,663519.0944499192,6923187.409459027
1708200000016302,1708200000016302,J(an) v. Dieststraat,Jan van Dieststraat,8325GM,8325GM,24,24,,,,,Vollenhove,Vollenhove,663454.3961941693,6923331.475097732
1708200000016161,1708200000016161,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,17,17,,,,,Vollenhove,Vollenhove,663617.8844595081,6923399.476393104
1708200000016603,1708200000016603,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,11,11,,,,,Vollenhove,Vollenhove,663509.0877652998,6923378.891525212
1708200000020701,1708200000020701,Bultweg,Duivenslaagte,8346KD,8346KH,30,6,,,003,,De Bult,De Bult,681086.5930710054,6949087.470889201
1708200000016460,1708200000016460,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GG,8325GG,51,51,,,,,Vollenhove,Vollenhove,663345.8872491169,6923347.186588866
1708200000016606,1708200000016606,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,17,17,,,,,Vollenhove,Vollenhove,663515.5145569117,6923359.03995964
1708200000016289,1708200000016289,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,1,1,,,,,Vollenhove,Vollenhove,663496.1557873436,6923408.695120528
1708200000016152,1708200000016152,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GG,8325GG,39,39,,,,,Vollenhove,Vollenhove,663311.1161319094,6923321.061735831
1708200000016760,1708200000016760,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,8,8,,,,,Vollenhove,Vollenhove,663453.5093994417,6923219.280785596
1708200000016311,1708200000016311,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,3,3,,,,,Vollenhove,Vollenhove,663504.6475010434,6923233.724510623
1708200000016435,1708200000016435,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,21,21,,,,,Vollenhove,Vollenhove,663370.921622441,6923141.452186116
1708200000016316,1708200000016316,D(avid) v. Bourgondiestraat,David van Bourgondiestraat,8325GP,8325GP,13,13,,,,,Vollenhove,Vollenhove,663471.2352073784,6923171.289859782
1708200000016163,1708200000016163,H(endrik) v. Beierenstraat,Hendrik van Beierenstraat,8325GH,8325GH,21,21,,,,,Vollenhove,Vollenhove,663634.1600001906,6923376.246159596
1708200000016627,1708200000016627,J(an) v. Dieststraat,Jan van Dieststraat,8325GN,8325GN,98,98,,,,,Vollenhove,Vollenhove,663800.9161999134,6923440.917975569
1708200000016297,1708200000016297,J(an) v. Dieststraat,Jan van Dieststraat,8325GK,8325GK,37,37,,,,,Vollenhove,Vollenhove,663587.7230973305,6923332.064955369
