gemcode,gemnaam,diflen,foutlen,wozlen,datetime,score
310,De Bilt,2,4,22314,2019-06-06 16:24:56.362725+02:00,99.9731
1940,De Fryske Marren,4,0,30945,2019-06-06 16:25:10.109725+02:00,99.9871
736,De Ronde Venen,39,0,23214,2019-06-06 16:25:22.782098+02:00,99.832
1690,De Wolden,423,9,11535,2019-06-06 16:25:30.366877+02:00,96.2549
503,Delft,84,140,56914,2019-06-06 16:25:43.052604+02:00,99.6064
10,Delfzijl,3,0,14521,2019-06-06 16:25:49.086905+02:00,99.9793
400,Den Helder,0,0,34709,2019-06-06 16:25:57.244052+02:00,100.0
762,Deurne,6,0,15903,2019-06-06 16:26:04.198715+02:00,99.9623
150,Deventer,1543,121,51704,2019-06-06 16:26:15.218120+02:00,96.7817
384,Diemen,17,4,17572,2019-06-06 16:26:23.099956+02:00,99.8805
1774,Dinkelland,5,3,13409,2019-06-06 16:26:27.965771+02:00,99.9403
221,Doesburg,0,5,6152,2019-06-06 16:26:32.067247+02:00,99.9187
222,Doetinchem,6,132,30292,2019-06-06 16:26:43.520047+02:00,99.5444
766,Dongen,2,0,12808,2019-06-06 16:26:51.859086+02:00,99.9844
505,Dordrecht,5,0,65612,2019-06-06 16:27:07.964451+02:00,99.9924
498,Drechterland,2,21,9427,2019-06-06 16:27:12.917837+02:00,99.756
1719,Drimmelen,2,6,13140,2019-06-06 16:27:18.218027+02:00,99.9391
303,Dronten,0,1,20606,2019-06-06 16:27:24.687244+02:00,99.9951
225,Druten,119,1,8512,2019-06-06 16:27:29.348515+02:00,98.5902
226,Duiven,60,6,11898,2019-06-06 16:27:34.168884+02:00,99.4453
1711,Echt-Susteren,0,1,17406,2019-06-06 16:27:39.177873+02:00,99.9943
385,Edam-Volendam,715,12,18027,2019-06-06 16:27:45.097984+02:00,95.9672
228,Ede,2,6,56043,2019-06-06 16:28:01.897756+02:00,99.9857
317,Eemnes,50,0,4559,2019-06-06 16:28:05.683007+02:00,98.9033
770,Eersel,5,2,9396,2019-06-06 16:28:10.361060+02:00,99.9255
1903,Eijsden-Margraten,0,1,12884,2019-06-06 16:28:15.687739+02:00,99.9922
