gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0828,Oss,863,2,45405,98.0949,20-6-2019 1:43,265
0753,Best,280,0,14491,98.0678,20-6-2019 1:8,266
0397,Heemstede,260,0,13306,98.046,20-6-2019 1:28,267
1734,Overbetuwe,437,0,22157,98.0277,20-6-2019 1:43,268
0277,Rozendaal,14,0,682,97.9472,20-6-2019 1:48,269
0085,Ooststellingwerf,121,165,13494,97.8805,20-6-2019 1:42,270
0703,Reimerswaal,82,157,10608,97.747,20-6-2019 1:45,271
0532,Stede Broec,229,0,9834,97.6713,20-6-2019 1:50,272
0654,Borsele,277,0,11496,97.5905,20-6-2019 1:10,273
0575,Noordwijk,601,2,24745,97.5631,20-6-2019 1:41,274
0383,Castricum,451,6,18376,97.5131,20-6-2019 1:13,275
0743,Asten,196,4,7992,97.4975,20-6-2019 1:5,276
1952,Midden-Groningen,174,538,25977,97.2591,20-6-2019 1:38,277
0398,Heerhugowaard,847,2,27847,96.9512,20-6-2019 1:28,278
1695,Noord-Beveland,85,134,6926,96.838,20-6-2019 1:40,279
0150,Deventer,1543,115,51716,96.794,20-6-2019 1:16,280
0160,Hardenberg,860,56,28216,96.7536,20-6-2019 1:27,281
0406,Huizen,417,293,21103,96.6355,20-6-2019 1:32,282
0214,Buren,393,3,11756,96.6315,20-6-2019 1:12,283
0098,Weststellingwerf,274,183,13364,96.5804,20-6-2019 1:58,284
0396,Heemskerk,733,30,20469,96.2724,20-6-2019 1:27,285
1690,De Wolden,423,8,11537,96.2642,20-6-2019 1:15,286
0450,Uitgeest,236,2,6314,96.2306,20-6-2019 1:53,287
0420,Medemblik,496,352,22364,96.2082,20-6-2019 1:37,288
1773,Olst-Wijhe,329,1,8614,96.169,20-6-2019 1:42,289
0246,Heerde,332,0,8593,96.1364,20-6-2019 1:28,290
1884,Kaag en Braassem,477,63,13773,96.0793,20-6-2019 1:33,291
0385,Edam-Volendam,715,9,18072,95.9938,20-6-2019 1:19,292
1598,Koggenland,125,354,11236,95.7369,20-6-2019 1:33,293
0664,Goes,886,2,20746,95.7197,20-6-2019 1:23,294
0209,Beuningen,524,0,12229,95.7151,20-6-2019 1:8,295
0453,Velsen,831,734,35893,95.6398,20-6-2019 1:55,296
1742,Rijssen-Holten,608,172,17639,95.578,20-6-2019 1:45,297
1945,Berg en Dal,595,200,17214,95.3817,20-6-2019 1:7,298
0797,Heusden,935,93,22215,95.3725,20-6-2019 1:30,299
1714,Sluis,951,3,20092,95.2518,20-6-2019 1:49,300
1966,Het Hogeland,1202,4,25294,95.2321,20-6-2019 1:30,301
1900,Sudwest-Fryslan,30,2591,54670,95.2058,20-6-2019 1:51,302
1740,Neder-Betuwe,502,23,10123,94.8138,20-6-2019 1:39,303
0867,Waalwijk,1360,2,25265,94.6091,20-6-2019 1:57,304
0716,Tholen,734,0,13033,94.3681,20-6-2019 1:52,305
0737,Tytsjerksteradiel,908,0,15680,94.2092,20-6-2019 1:53,306
0275,Rheden,1476,1,24204,93.8977,20-6-2019 1:45,307
0473,Zandvoort,1024,0,11214,90.8686,20-6-2019 2:0,308
0432,Opmeer,457,284,5951,87.5483,20-6-2019 1:43,309
