gemcode,gemnaam,diflen,foutlen,wozlen,score,datetime,plaats
0356,Nieuwegein,5,1,32315,99.9814,12-6-2019 14:32,47
0457,Weesp,2,0,10759,99.9814,12-6-2019 14:51,47
1904,Stichtse Vecht,6,0,32070,99.9813,12-6-2019 14:43,48
0034,Almere,4,14,94338,99.9809,12-6-2019 14:4,49
0183,Tubbergen,2,0,10156,99.9803,12-6-2019 14:46,50
0216,Culemborg,1,2,14485,99.9793,12-6-2019 14:14,51
0114,Emmen,8,4,58028,99.9793,12-6-2019 14:19,51
0010,Delfzijl,3,0,14521,99.9793,12-6-2019 14:15,51
0668,West Maas en Waal,2,0,9566,99.9791,12-6-2019 14:51,52
0370,Beemster,1,0,4731,99.9789,12-6-2019 14:11,53
1954,Beekdaelen,3,1,18337,99.9782,12-6-2019 14:10,54
0090,Smallingerland,3,4,30998,99.9774,12-6-2019 14:42,55
0772,Eindhoven,31,0,131063,99.9763,12-6-2019 14:19,56
0907,Gennep,2,0,8431,99.9763,12-6-2019 14:20,56
0858,Valkenswaard,2,2,16660,99.976,12-6-2019 14:48,57
0957,Roermond,8,0,32780,99.9756,12-6-2019 14:38,58
0312,Bunnik,2,0,7535,99.9735,12-6-2019 14:13,59
0310,De Bilt,2,4,22314,99.9731,12-6-2019 14:14,60
0327,Leusden,2,2,14736,99.9729,12-6-2019 14:29,61
0047,Veendam,4,0,14617,99.9726,12-6-2019 14:48,62
1669,Roerdalen,3,0,10927,99.9725,12-6-2019 14:38,63
1659,Laarbeek,3,0,10881,99.9724,12-6-2019 14:28,64
0502,Capelle aan den IJssel,7,3,35952,99.9722,12-6-2019 14:14,65
1701,Westerveld,3,0,10809,99.9722,12-6-2019 14:51,65
0983,Venlo,14,2,56779,99.9718,12-6-2019 14:49,66
0037,Stadskanaal,3,2,17494,99.9714,12-6-2019 14:43,67
1783,Westland,11,5,55249,99.971,12-6-2019 14:52,68
1774,Dinkelland,1,3,13696,99.9708,12-6-2019 14:16,69
0164,Hengelo,14,0,47216,99.9703,12-6-2019 14:25,70
0531,Hendrik-Ido-Ambacht,4,0,13487,99.9703,12-6-2019 14:25,70
0484,Alphen aan den Rijn,22,0,71392,99.9692,12-6-2019 14:4,71
0599,Rotterdam,101,8,352247,99.9691,12-6-2019 14:41,72
0512,Gorinchem,6,0,19352,99.969,12-6-2019 14:21,73
0938,Meerssen,2,1,9503,99.9684,12-6-2019 14:31,74
0757,Boxtel,0,5,15671,99.9681,12-6-2019 14:12,75
1950,Westerwolde,4,0,12519,99.968,12-6-2019 14:52,76
0935,Maastricht,18,6,70806,99.9661,12-6-2019 14:31,77
1891,Dantumadiel,2,1,8849,99.9661,12-6-2019 14:14,77
0946,Nederweert,2,1,8778,99.9658,12-6-2019 14:32,78
0627,Waddinxveen,4,1,14581,99.9657,12-6-2019 14:51,79
0794,Helmond,17,0,48587,99.965,12-6-2019 14:25,80
1721,Bernheze,5,0,13962,99.9642,12-6-2019 14:11,81
0230,Elburg,4,0,10990,99.9636,12-6-2019 14:19,82
0845,Sint-Michielsgestel,1,4,13671,99.9634,12-6-2019 14:42,83
1894,Peel en Maas,6,2,21548,99.9629,12-6-2019 14:36,84
0777,Etten-Leur,4,4,21474,99.9627,12-6-2019 14:20,85
0762,Deurne,6,0,15903,99.9623,12-6-2019 14:16,86
0153,Enschede,33,0,86682,99.9619,12-6-2019 14:20,87
0200,Apeldoorn,31,2,85554,99.9614,12-6-2019 14:9,88
0353,IJsselstein,1,5,15513,99.9613,12-6-2019 14:27,89
0441,Schagen,8,3,27828,99.9605,12-6-2019 14:41,90
0556,Maassluis,7,0,17540,99.9601,12-6-2019 14:30,91
0748,Bergen op Zoom,14,1,37556,99.9601,12-6-2019 14:11,91
0431,Oostzaan,2,0,4726,99.9577,12-6-2019 14:35,92
0606,Schiedam,2,16,42080,99.9572,12-6-2019 14:41,93
0847,Someren,1,3,9247,99.9567,12-6-2019 14:43,94
1924,Goeree-Overflakkee,11,2,29850,99.9564,12-6-2019 14:21,95
0788,Haaren,2,1,6838,99.9561,12-6-2019 14:23,96
0147,Borne,4,1,11295,99.9557,12-6-2019 14:12,97
1724,Bergeijk,3,1,9028,99.9557,12-6-2019 14:11,97
0197,Aalten,2,4,13200,99.9545,12-6-2019 14:3,98
0866,Waalre,4,0,8766,99.9544,12-6-2019 14:50,99
0345,Veenendaal,11,4,32653,99.9541,12-6-2019 14:48,100
1916,Leidschendam-Voorburg,16,3,41089,99.9538,12-6-2019 14:29,101
0944,Mook en Middelaar,2,0,4036,99.9504,12-6-2019 14:32,102
1942,Gooise Meren,11,5,31484,99.9492,12-6-2019 14:21,103
1509,Oude IJsselstreek,4,7,20845,99.9472,12-6-2019 14:36,104
0965,Simpelveld,1,2,5642,99.9468,12-6-2019 14:42,105
